Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Xgene Pharmaceutical,https://www.crunchbase.com/funding_round/xgene-pharmaceutical-series-b--6fa10d8f,Xgene Pharmaceutical,https://www.crunchbase.com/organization/xgene-pharmaceutical,Series B,20000000,USD,20000000,2018-10-25
Series A - Eccogene,https://www.crunchbase.com/funding_round/eccogene-series-a--0ae664cf,Eccogene,https://www.crunchbase.com/organization/eccogene,Series A,,,,2018-09-06
Series A - Alpha Biopharma,https://www.crunchbase.com/funding_round/alpha-biopharm-series-a--5ed2d8f2,Alpha Biopharma,https://www.crunchbase.com/organization/alpha-biopharm,Series A,37000000,USD,37000000,2018-06-19
Series A - ZAI Lab,https://www.crunchbase.com/funding_round/zai-lab-series-a--0ff48433,ZAI Lab,https://www.crunchbase.com/organization/zai-lab,Series A,8000000,USD,8000000,2014-08-27
Series B - ZAI Lab,https://www.crunchbase.com/funding_round/zai-lab-series-b--f781d8dd,ZAI Lab,https://www.crunchbase.com/organization/zai-lab,Series B,106200000,USD,106200000,2016-01-08
Series A - CANbridge Life Sciences,https://www.crunchbase.com/funding_round/canbridge-life-sciences-series-a--873d321d,CANbridge Life Sciences,https://www.crunchbase.com/organization/canbridge-life-sciences,Series A,10000000,USD,10000000,2014-12-02
Series A - GeneQuantum Healthcare,https://www.crunchbase.com/funding_round/genequantum-healthcare-series-a--ab4eaeac,GeneQuantum Healthcare,https://www.crunchbase.com/organization/genequantum-healthcare,Series A,40000000,CNY,5821187,2017-03-27
Series A - Abbisko Therapeutics,https://www.crunchbase.com/funding_round/abbisko-therapeutics-series-a--cb3b3a54,Abbisko Therapeutics,https://www.crunchbase.com/organization/abbisko-therapeutics,Series A,28000000,USD,28000000,2017-02-07
Series A - Shanghai Sanyou Medical,https://www.crunchbase.com/funding_round/shanghai-sanyou-medical-series-a--ab0c9079,Shanghai Sanyou Medical,https://www.crunchbase.com/organization/shanghai-sanyou-medical,Series A,,,,2014-03-02
Series A - Antengene Corporation,https://www.crunchbase.com/funding_round/antengene-corporation-series-a--5c7dca40,Antengene Corporation,https://www.crunchbase.com/organization/antengene-corporation,Series A,21000000,USD,21000000,2017-08-16
Series A - Ark Biosciences,https://www.crunchbase.com/funding_round/ark-biosciences-series-a--3e6cb52c,Ark Biosciences,https://www.crunchbase.com/organization/ark-biosciences,Series A,,,,2015-04-07
