Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Wright brothers Technology,https://www.crunchbase.com/funding_round/wright-brothers-technology-series-a--683d2476,Wright brothers Technology,https://www.crunchbase.com/organization/wright-brothers-technology,Series A,60000000,CNY,8735023,2018-09-30
Series B - Rokae,https://www.crunchbase.com/funding_round/rokae-series-b--8ced4a34,Rokae,https://www.crunchbase.com/organization/rokae,Series B,160000000,CNY,23331437,2018-09-21
Seed Round - NovoShine,https://www.crunchbase.com/funding_round/novoshine-seed--178d9347,NovoShine,https://www.crunchbase.com/organization/novoshine,Seed,,,,2018-09-14
Series A - Hefei Ruike Microelectronics Co.,https://www.crunchbase.com/funding_round/hefei-ruike-microelectronics-co-series-a--ba9b9012,Hefei Ruike Microelectronics Co.,https://www.crunchbase.com/organization/hefei-ruike-microelectronics-co,Series A,,,,2018-05-10
Series A - YEESTOR,https://www.crunchbase.com/funding_round/yeestor-series-a--828d053b,YEESTOR,https://www.crunchbase.com/organization/yeestor,Series A,47800000,USD,47800000,2018-04-16
Series B - Tsign,https://www.crunchbase.com/funding_round/tsign-series-b--7fc8fa62,Tsign,https://www.crunchbase.com/organization/tsign,Series B,23000000,USD,23000000,2018-01-10
Series B - OptoMedic,https://www.crunchbase.com/funding_round/optomedic-series-b--952f7bf9,OptoMedic,https://www.crunchbase.com/organization/optomedic,Series B,,,,2018-05-17
Series B - Zhiruida Instrument Technology,https://www.crunchbase.com/funding_round/zhiruida-instrument-technology-series-b--74801705,Zhiruida Instrument Technology,https://www.crunchbase.com/organization/zhiruida-instrument-technology,Series B,,,,2018-07-03
Series B - Huisuanzhang,https://www.crunchbase.com/funding_round/huisuanzhang-series-b--4e124de7,Huisuanzhang,https://www.crunchbase.com/organization/huisuanzhang,Series B,30000000,USD,30000000,2017-10-24
Series B - Hsuanzhang,https://www.crunchbase.com/funding_round/hsuanzhang-series-b--bdc38f2e,Hsuanzhang,https://www.crunchbase.com/organization/hsuanzhang,Series B,200000000,CNY,30071118,2017-10-03
Series A - Rokae,https://www.crunchbase.com/funding_round/rokae-series-a--9cdbe6f2,Rokae,https://www.crunchbase.com/organization/rokae,Series A,6000000,USD,6000000,2017-11-21
Seed Round - Ingcare,https://www.crunchbase.com/funding_round/ingcare-seed--d152c867,Ingcare,https://www.crunchbase.com/organization/ingcare,Seed,,,,2017-10-25
Series B - Tsinova,https://www.crunchbase.com/funding_round/tsinova-series-b--45f6b734,Tsinova,https://www.crunchbase.com/organization/tsinova,Series B,23000000,USD,23000000,2016-08-15
Series A - Bellen,https://www.crunchbase.com/funding_round/bellen-series-a--0c02646a,Bellen,https://www.crunchbase.com/organization/bellen,Series A,,,,2016-09-21
Series A - Fenfenzhong,https://www.crunchbase.com/funding_round/fenfenzhong-series-a--a2e156a5,Fenfenzhong,https://www.crunchbase.com/organization/fenfenzhong,Series A,110000000,CNY,16706762,2017-09-19
