Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Corporate Round - Go-Jek,https://www.crunchbase.com/funding_round/go-jek-corporate-round--3edde76d,Go-Jek,https://www.crunchbase.com/organization/go-jek,Corporate Round,1200000000,USD,1200000000,2018-10-30
Series A - Zhonglan Media,https://www.crunchbase.com/funding_round/zhonglan-media-series-a--00849e85,Zhonglan Media,https://www.crunchbase.com/organization/zhonglan-media,Series A,,,,2018-10-30
Series C - Momenta,https://www.crunchbase.com/funding_round/momenta-ai-series-c--fb8e3815,Momenta,https://www.crunchbase.com/organization/momenta-ai,Series C,,,,2018-10-18
Seed Round - Infraspeak,https://www.crunchbase.com/funding_round/infraspeak-seed--f7b9324d,Infraspeak,https://www.crunchbase.com/organization/infraspeak,Seed,1600000,EUR,1852267,2018-10-16
Series C - Linklogis,https://www.crunchbase.com/funding_round/linklogis-series-c--16f3f915,Linklogis,https://www.crunchbase.com/organization/linklogis,Series C,220000000,USD,220000000,2018-10-15
Secondary Market - Nubank,https://www.crunchbase.com/funding_round/nubank-secondary-market--11343326,Nubank,https://www.crunchbase.com/organization/nubank,Secondary Market,180000000,USD,180000000,2018-10-08
Post-IPO Equity - Bilibili,https://www.crunchbase.com/funding_round/bilibili-inc-post-ipo-equity--81581a85,Bilibili,https://www.crunchbase.com/organization/bilibili-inc,Post-IPO Equity,317600000,USD,317600000,2018-10-05
Private Equity Round - Voyager Innovations,https://www.crunchbase.com/funding_round/voyager-innovations-private-equity--96add9dd,Voyager Innovations,https://www.crunchbase.com/organization/voyager-innovations,Private Equity,175000000,USD,175000000,2018-10-04
Series A - Miniso,https://www.crunchbase.com/funding_round/miniso-series-a--8469bea9,Miniso,https://www.crunchbase.com/organization/miniso,Series A,1000000000,CNY,145583717,2018-10-01
Series B - WeShare,https://www.crunchbase.com/funding_round/weshare-b67b-series-b--faf10f4d,WeShare,https://www.crunchbase.com/organization/weshare-b67b,Series B,90000000,USD,90000000,2018-09-30
Series D - Yijiupi.com,https://www.crunchbase.com/funding_round/yijiupi-com-series-d--9151c548,Yijiupi.com,https://www.crunchbase.com/organization/yijiupi-com,Series D,200000000,USD,200000000,2018-09-20
Series E - Tuhu,https://www.crunchbase.com/funding_round/tuhu-series-e--f5e30836,Tuhu,https://www.crunchbase.com/organization/tuhu,Series E,450000000,USD,450000000,2018-09-17
Series E - MissFresh E-Commerce,https://www.crunchbase.com/funding_round/missfresh-e-commerce-series-e--63708b5d,MissFresh E-Commerce,https://www.crunchbase.com/organization/missfresh-e-commerce,Series E,450000000,USD,450000000,2018-09-06
Series D - Dream11,https://www.crunchbase.com/funding_round/dream11-series-d--37d07740,Dream11,https://www.crunchbase.com/organization/dream11,Series D,100000000,USD,100000000,2018-09-06
Venture Round - 1939 Games,https://www.crunchbase.com/funding_round/1939-games-series-unknown--5db4f329,1939 Games,https://www.crunchbase.com/organization/1939-games,Venture - Series Unknown,2000000,USD,2000000,2018-09-06
Series D - Kaochong,https://www.crunchbase.com/funding_round/kaochong-series-d--098263d4,Kaochong,https://www.crunchbase.com/organization/kaochong,Series D,55000000,USD,55000000,2018-09-05
Private Equity Round - Lianjia,https://www.crunchbase.com/funding_round/home-link-private-equity--1127007f,Lianjia,https://www.crunchbase.com/organization/home-link,Private Equity,1500000000,USD,1500000000,2018-09-05
Series A - Paystack,https://www.crunchbase.com/funding_round/paystack-series-a--5e976ed8,Paystack,https://www.crunchbase.com/organization/paystack,Series A,10205002,USD,10205002,2018-08-28
