Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Aipai,https://www.crunchbase.com/funding_round/aipai-series-c--11fbbed3,Aipai,https://www.crunchbase.com/organization/aipai,Series C,38000000,USD,38000000,2014-08-21
Series B - Maimaibao,https://www.crunchbase.com/funding_round/mmb-series-b--2f752041,Maimaibao,https://www.crunchbase.com/organization/mmb,Series B,,,,2014-03-18
Series B - Xinyi Network,https://www.crunchbase.com/funding_round/xinyi-network-series-b--b50cf9e1,Xinyi Network,https://www.crunchbase.com/organization/xinyi-network,Series B,10000000,CNY,1647344,2014-02-01
Series C - Didi Chuxing,https://www.crunchbase.com/funding_round/didi-dache-series-c--f9fe13c7,Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,Series C,100000000,USD,100000000,2014-01-02
Series B - Howbuy,https://www.crunchbase.com/funding_round/howbuy-series-b--9603fc8a,Howbuy,https://www.crunchbase.com/organization/howbuy,Series B,,,,2013-12-01
Series B - Roseonly,https://www.crunchbase.com/funding_round/roseonly-series-b--9c23e873,Roseonly,https://www.crunchbase.com/organization/roseonly,Series B,10000000,USD,10000000,2013-10-01
Series A - 1jiajie,https://www.crunchbase.com/funding_round/1jiajie-series-a--466a72b8,1jiajie,https://www.crunchbase.com/organization/1jiajie,Series A,1000000,CNY,163203,2013-09-01
Series B - Didi Chuxing,https://www.crunchbase.com/funding_round/didi-dache-series-b--0c3b4552,Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,Series B,15000000,USD,15000000,2013-07-01
Series A - Uxin,https://www.crunchbase.com/funding_round/uxin-series-a--923922b4,Uxin,https://www.crunchbase.com/organization/uxin,Series A,30000000,USD,30000000,2013-04-19
Series A - Zhitu,https://www.crunchbase.com/funding_round/zhitu-series-a--8f2ceb40,Zhitu,https://www.crunchbase.com/organization/zhitu,Series A,1000000,CNY,160807,2013-04-01
Series A - Togic Software,https://www.crunchbase.com/funding_round/togic-software-series-a--de7479f8,Togic Software,https://www.crunchbase.com/organization/togic-software,Series A,10000000,CNY,1608070,2013-04-01
Venture Round - JiaThis,https://www.crunchbase.com/funding_round/jiathis-series-unknown--6090f885,JiaThis,https://www.crunchbase.com/organization/jiathis,Venture - Series Unknown,,,,2013-02-01
Series D - Gaopeng,https://www.crunchbase.com/funding_round/gaopeng-series-d--e434c225,Gaopeng,https://www.crunchbase.com/organization/gaopeng,Series D,,,,2013-01-01
Series D - Meilishuo,https://www.crunchbase.com/funding_round/meilishuo-series-d--1e323bc3,Meilishuo,https://www.crunchbase.com/organization/meilishuo,Series D,,,,2012-11-01
Series A - Shuame,https://www.crunchbase.com/funding_round/shuame-series-a--3ffaccf6,Shuame,https://www.crunchbase.com/organization/shuame,Series A,80000000,CNY,12561381,2012-08-01
Venture Round - Yeahka,https://www.crunchbase.com/funding_round/yeahka-series-unknown--67306e63,Yeahka,https://www.crunchbase.com/organization/yeahka,Venture - Series Unknown,,,,2012-07-01
Angel Round - Caixin Media,https://www.crunchbase.com/funding_round/caixin-media-angel--284aa67b,Caixin Media,https://www.crunchbase.com/organization/caixin-media,Angel,56470000,CNY,8893947,2012-07-01
Series B - LeWa Tek,https://www.crunchbase.com/funding_round/lewa-tek-series-b--1914ccc9,LeWa Tek,https://www.crunchbase.com/organization/lewa-tek,Series B,50000000,CNY,7874930,2012-07-01
Series A - Maimaibao,https://www.crunchbase.com/funding_round/mmb-series-a--4d66c03a,Maimaibao,https://www.crunchbase.com/organization/mmb,Series A,64945600,USD,64945600,2012-05-01
Venture Round - Think Sky,https://www.crunchbase.com/funding_round/think-sky-series-unknown--1fe41418,Think Sky,https://www.crunchbase.com/organization/think-sky,Venture - Series Unknown,1000000,CNY,158625,2012-01-01
Series B - L99.com,https://www.crunchbase.com/funding_round/l99-com-series-b--2b4bc475,L99.com,https://www.crunchbase.com/organization/l99-com,Series B,2270000,USD,2270000,2011-12-01
Series A - Rekoo,https://www.crunchbase.com/funding_round/rekoo-series-a--ee21787f,Rekoo,https://www.crunchbase.com/organization/rekoo,Series A,,,,2011-12-01
