Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Zmeng Network Technology (ZMT),https://www.crunchbase.com/funding_round/zmeng-network-technology-zmt-series-c--97d7f582,Zmeng Network Technology (ZMT),https://www.crunchbase.com/organization/zmeng-network-technology-zmt,Series C,500000000,CNY,71968333,2018-10-22
Angel Round - WeCode,https://www.crunchbase.com/funding_round/wecode-78c6-angel--2222ba02,WeCode,https://www.crunchbase.com/organization/wecode-78c6,Angel,10000000,CNY,1456218,2018-09-25
Series C - Chehaoduo,https://www.crunchbase.com/funding_round/guazi-com-series-c--6582a9fb,Chehaoduo,https://www.crunchbase.com/organization/guazi-com,Series C,162000000,USD,162000000,2018-10-16
Series D - Zuoyebang,https://www.crunchbase.com/funding_round/zuoyebang-series-d--e9c8f502,Zuoyebang,https://www.crunchbase.com/organization/zuoyebang,Series D,350000000,USD,350000000,2018-07-18
Series D - Xiaohongshu,https://www.crunchbase.com/funding_round/xiaohongshu-series-d--1902c2b7,Xiaohongshu,https://www.crunchbase.com/organization/xiaohongshu,Series D,300000000,USD,300000000,2018-06-01
Series B - Aijia Home Furnishing Products,https://www.crunchbase.com/funding_round/aijia-home-furnishing-products-co-series-b--a1cc98a2,Aijia Home Furnishing Products,https://www.crunchbase.com/organization/aijia-home-furnishing-products-co,Series B,1000000000,CNY,145725987,2018-09-18
Series C - Baletoo.com,https://www.crunchbase.com/funding_round/baletoo-com-series-c--93358fc5,Baletoo.com,https://www.crunchbase.com/organization/baletoo-com,Series C,,,,2018-05-10
Series C - Yaochufa,https://www.crunchbase.com/funding_round/yaochufa-series-c--bf2dac3a,Yaochufa,https://www.crunchbase.com/organization/yaochufa,Series C,35000000,USD,35000000,2014-08-29
Series A - Tingting Jiejie,https://www.crunchbase.com/funding_round/tingting-jiejie-series-a--4dabb278,Tingting Jiejie,https://www.crunchbase.com/organization/tingting-jiejie,Series A,,,,2018-06-01
Series B - Weixiuhui,https://www.crunchbase.com/funding_round/weixiuhui-series-b--e9973cc9,Weixiuhui,https://www.crunchbase.com/organization/weixiuhui,Series B,,,,2018-07-27
Series C - Juanpi,https://www.crunchbase.com/funding_round/juanpi-com-series-c--ac9a3766,Juanpi,https://www.crunchbase.com/organization/juanpi-com,Series C,600000000,CNY,92625125,2016-04-15
Series A - iGROW,https://www.crunchbase.com/funding_round/igrow-4831-series-a--c8066873,iGROW,https://www.crunchbase.com/organization/igrow-4831,Series A,,,,2018-06-21
Series B - Meiweibuyongdeng,https://www.crunchbase.com/funding_round/meiweibuyongdeng-series-b--88fa0f99,Meiweibuyongdeng,https://www.crunchbase.com/organization/meiweibuyongdeng,Series B,20000000,USD,20000000,2015-01-01
Series A - Baoshifu,https://www.crunchbase.com/funding_round/baoshifu-series-a--7182281b,Baoshifu,https://www.crunchbase.com/organization/baoshifu,Series A,,,,2018-05-17
Series A - LuRenJia,https://www.crunchbase.com/funding_round/lurenjia-series-a--33ecbbf2,LuRenJia,https://www.crunchbase.com/organization/lurenjia,Series A,15000000,USD,15000000,2018-03-26
Series A - Nayuki,https://www.crunchbase.com/funding_round/nayuki-series-a--d4257494,Nayuki,https://www.crunchbase.com/organization/nayuki,Series A,,,,2018-03-20
Series C - Laoyuegou,https://www.crunchbase.com/funding_round/laoyuegou-series-c--60f57ef5,Laoyuegou,https://www.crunchbase.com/organization/laoyuegou,Series C,31000000,USD,31000000,2018-02-27
Venture Round - Phoenix Healthcare Group,https://www.crunchbase.com/funding_round/phoenix-healthcare-group-series-unknown--01067c53,Phoenix Healthcare Group,https://www.crunchbase.com/organization/phoenix-healthcare-group,Venture - Series Unknown,40650000,USD,40650000,2013-07-01
Series B - Paipaizhuan,https://www.crunchbase.com/funding_round/paipaizhuan-series-b--d78bb90a,Paipaizhuan,https://www.crunchbase.com/organization/paipaizhuan,Series B,,,,2017-11-27
Series A - Parallel Education,https://www.crunchbase.com/funding_round/parallel-education-series-a--7059aefa,Parallel Education,https://www.crunchbase.com/organization/parallel-education,Series A,12000000,USD,12000000,2017-10-27
Series C - Tongdun Technology,https://www.crunchbase.com/funding_round/tongdun-technology-series-c--4f9a0d2d,Tongdun Technology,https://www.crunchbase.com/organization/tongdun-technology,Series C,78200000,USD,78200000,2017-10-10
Series C - Kuaikan Manhua,https://www.crunchbase.com/funding_round/kuaikan-manhua-series-c--b1425eef,Kuaikan Manhua,https://www.crunchbase.com/organization/kuaikan-manhua,Series C,250000000,CNY,36038113,2017-01-11
Series C - 51 Credit Card Manager,https://www.crunchbase.com/funding_round/51-credit-card-manager-series-c--357d1f39,51 Credit Card Manager,https://www.crunchbase.com/organization/51-credit-card-manager,Series C,310000000,USD,310000000,2016-09-21
Venture Round - I-Tooling Manufacturing Group,https://www.crunchbase.com/funding_round/i-tooling-manufacturing-group-series-unknown--6bad755d,I-Tooling Manufacturing Group,https://www.crunchbase.com/organization/i-tooling-manufacturing-group,Venture - Series Unknown,2930000,USD,2930000,2009-07-23
Series A - Sichuan Gaofuji Food,https://www.crunchbase.com/funding_round/sichuan-gaofuji-food-series-a--8901eebe,Sichuan Gaofuji Food,https://www.crunchbase.com/organization/sichuan-gaofuji-food,Series A,100000000,CNY,16280138,2014-03-01
Series B - inMotion/SoloWheel,https://www.crunchbase.com/funding_round/inmotion-technologies-series-b--f5aa3bfb,inMotion/SoloWheel,https://www.crunchbase.com/organization/inmotion-technologies,Series B,17000000,USD,17000000,2014-12-09
Series C - Distinct Healthcare,https://www.crunchbase.com/funding_round/distinct-healthcare-series-c--4c263c7f,Distinct Healthcare,https://www.crunchbase.com/organization/distinct-healthcare,Series C,40000000,USD,40000000,2017-08-27
Venture Round - Emotte IT,https://www.crunchbase.com/funding_round/emotte-it-series-unknown--ab71cc64,Emotte IT,https://www.crunchbase.com/organization/emotte-it,Venture - Series Unknown,50000000,CNY,7770435,2011-08-01
Venture Round - Chengdu Santai Electronics Industry,https://www.crunchbase.com/funding_round/chengdu-santai-electronics-industry-series-unknown--460cf3d9,Chengdu Santai Electronics Industry,https://www.crunchbase.com/organization/chengdu-santai-electronics-industry,Venture - Series Unknown,,,,2007-06-01
Series A - Zhou Heiya,https://www.crunchbase.com/funding_round/zhou-heiya-series-a--4d46597f,Zhou Heiya,https://www.crunchbase.com/organization/zhou-heiya,Series A,58000000,CNY,8660070,2010-11-01
Series D - FreshMarket,https://www.crunchbase.com/funding_round/freshmarket-series-d--306be1b5,FreshMarket,https://www.crunchbase.com/organization/freshmarket,Series D,290000000,CNY,44321824,2017-09-13
Series C - Meilapp.com,https://www.crunchbase.com/funding_round/meilapp-com-series-c--50c7b2c3,Meilapp.com,https://www.crunchbase.com/organization/meilapp-com,Series C,10000000,USD,10000000,2015-11-10
Series D - aihuishou,https://www.crunchbase.com/funding_round/aihuishou-series-d--b835115f,aihuishou,https://www.crunchbase.com/organization/aihuishou,Series D,400000000,CNY,57616962,2016-12-21
Series A - HuaYin,https://www.crunchbase.com/funding_round/huayin-series-a--37a480ab,HuaYin,https://www.crunchbase.com/organization/huayin,Series A,16300000,USD,16300000,2014-10-20
Series B - Montnets,https://www.crunchbase.com/funding_round/shenzhen-montnets-science-and-technology-development-co-ltd-series-b--a2bc0cfb,Montnets,https://www.crunchbase.com/organization/shenzhen-montnets-science-and-technology-development-co-ltd,Series B,15000000,CNY,2196434,2009-11-01
Angel Round - BLOVES,https://www.crunchbase.com/funding_round/bloves-angel--e558203f,BLOVES,https://www.crunchbase.com/organization/bloves,Angel,30000000,CNY,4394307,2010-04-01
Series B - Zhou Heiya,https://www.crunchbase.com/funding_round/zhou-heiya-series-b--a7f1b67f,Zhou Heiya,https://www.crunchbase.com/organization/zhou-heiya,Series B,150000000,CNY,23624792,2012-07-01
Venture Round - Best Learning English,https://www.crunchbase.com/funding_round/best-learning-english-series-unknown--ddfd4736,Best Learning English,https://www.crunchbase.com/organization/best-learning-english,Venture - Series Unknown,100000000,CNY,15911878,2012-10-01
Venture Round - Shanghai Shipping Freight Exchange,https://www.crunchbase.com/funding_round/shanghai-shipping-freight-exchange-co-ltd-series-unknown--51cf62eb,Shanghai Shipping Freight Exchange,https://www.crunchbase.com/organization/shanghai-shipping-freight-exchange-co-ltd,Venture - Series Unknown,,,,2011-09-01
Series B - FreshMarket,https://www.crunchbase.com/funding_round/freshmarket-series-b--d0516a0a,FreshMarket,https://www.crunchbase.com/organization/freshmarket,Series B,180000000,CNY,28796894,2013-01-01
Series C - aihuishou,https://www.crunchbase.com/funding_round/aihuishou-series-c--1f77c486,aihuishou,https://www.crunchbase.com/organization/aihuishou,Series C,60000000,USD,60000000,2015-08-06
Series A - Leader Tech (Beijing) Digital Technology,https://www.crunchbase.com/funding_round/leader-tech-beijing-digital-technology-company-limited-series-a--d9851f75,Leader Tech (Beijing) Digital Technology,https://www.crunchbase.com/organization/leader-tech-beijing-digital-technology-company-limited,Series A,18000000,CNY,2797356,2011-08-01
Series B - QianCheng technology,https://www.crunchbase.com/funding_round/qiancheng-technology-series-b--fbbee497,QianCheng technology,https://www.crunchbase.com/organization/qiancheng-technology,Series B,200000000,CNY,29609008,2017-07-26
Series C - Beequick,https://www.crunchbase.com/funding_round/beequick-series-c--d468bd41,Beequick,https://www.crunchbase.com/organization/beequick,Series C,70000000,USD,70000000,2015-09-23
