Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - KaDa Story,https://www.crunchbase.com/funding_round/kada-story-series-a--a96c4f3a,KaDa Story,https://www.crunchbase.com/organization/kada-story,Series A,14000000,USD,14000000,2018-10-30
Series A - Mrs Wordsmith,https://www.crunchbase.com/funding_round/mrs-wordsmith-series-a--1a4f01cb,Mrs Wordsmith,https://www.crunchbase.com/organization/mrs-wordsmith,Series A,11000000,USD,11000000,2018-10-17
Series B - WeWork China,https://www.crunchbase.com/funding_round/wework-china-series-b--d5147892,WeWork China,https://www.crunchbase.com/organization/wework-china,Series B,500000000,USD,500000000,2018-07-26
Series D - SoYoung Technology,https://www.crunchbase.com/funding_round/soyoung-technology-series-d--e54c18ed,SoYoung Technology,https://www.crunchbase.com/organization/soyoung-technology,Series D,29000000,USD,29000000,2018-03-15
Series B - Kaishu Jianggushi,https://www.crunchbase.com/funding_round/kaishu-jianggushi-series-b--aac27087,Kaishu Jianggushi,https://www.crunchbase.com/organization/kaishu-jianggushi,Series B,24700000,USD,24700000,2018-03-07
Series C - Yitiao,https://www.crunchbase.com/funding_round/yitiao-series-c--81c95203,Yitiao,https://www.crunchbase.com/organization/yitiao,Series C,,,,2018-01-22
Series D - SoYoung Technology,https://www.crunchbase.com/funding_round/soyoung-technology-series-d--93b445df,SoYoung Technology,https://www.crunchbase.com/organization/soyoung-technology,Series D,60000000,USD,60000000,2017-12-27
Series C - Rogrand,https://www.crunchbase.com/funding_round/rogrand-series-c--126dd48f,Rogrand,https://www.crunchbase.com/organization/rogrand,Series C,,,,2017-12-21
Series D - Qingqing Jiajiao,https://www.crunchbase.com/funding_round/qingqing-jiajiao-series-d--c28fcd92,Qingqing Jiajiao,https://www.crunchbase.com/organization/qingqing-jiajiao,Series D,55000000,USD,55000000,2017-10-31
Series D - Changingedu,https://www.crunchbase.com/funding_round/changingedu-series-d--343e0811,Changingedu,https://www.crunchbase.com/organization/changingedu,Series D,55000000,USD,55000000,2017-10-30
Series C - Meituan-Dianping,https://www.crunchbase.com/funding_round/dianping-series-c--99fa34d5,Meituan-Dianping,https://www.crunchbase.com/organization/dianping,Series C,4000000000,USD,4000000000,2017-10-19
Series C - Yitiao,https://www.crunchbase.com/funding_round/yitiao-series-c--c97cec07,Yitiao,https://www.crunchbase.com/organization/yitiao,Series C,40000000,USD,40000000,2017-09-29
Series C - LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/funding_round/liulishuo-series-c--dc2d8875,LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/organization/liulishuo,Series C,100000000,USD,100000000,2017-07-26
Venture Round - Kaishu Jianggushi,https://www.crunchbase.com/funding_round/kaishu-jianggushi-series-unknown--ab605ce1,Kaishu Jianggushi,https://www.crunchbase.com/organization/kaishu-jianggushi,Venture - Series Unknown,90000000,CNY,13128639,2017-05-29
Series C - Xueba100.com,https://www.crunchbase.com/funding_round/xueba100-com-series-c--26d1910d,Xueba100.com,https://www.crunchbase.com/organization/xueba100-com,Series C,100000000,USD,100000000,2017-01-23
Series B - Veritas Genetics,https://www.crunchbase.com/funding_round/veritas-genetics-series-b--e2cc8013,Veritas Genetics,https://www.crunchbase.com/organization/veritas-genetics,Series B,30000000,USD,30000000,2016-10-17
Series D - Qyer.com,https://www.crunchbase.com/funding_round/qyer-com-series-d--bae4614d,Qyer.com,https://www.crunchbase.com/organization/qyer-com,Series D,60000000,USD,60000000,2016-01-06
Series A - Trustlook,https://www.crunchbase.com/funding_round/trustlook-series-a--f5a5bf8e,Trustlook,https://www.crunchbase.com/organization/trustlook,Series A,17000000,USD,17000000,2015-12-16
Series B - LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/funding_round/liulishuo-series-b--ac231867,LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/organization/liulishuo,Series B,28900000,USD,28900000,2015-07-15
Series C - Meican,https://www.crunchbase.com/funding_round/meican-series-c--406cfa37,Meican,https://www.crunchbase.com/organization/meican,Series C,23000000,USD,23000000,2015-04-07
Series B - Qingqing Jiajiao,https://www.crunchbase.com/funding_round/qingqing-jiajiao-series-b--b4b0e8ea,Qingqing Jiajiao,https://www.crunchbase.com/organization/qingqing-jiajiao,Series B,15000000,USD,15000000,2015-04-01
Series B - Xueba100.com,https://www.crunchbase.com/funding_round/xueba100-com-series-b--0843b7e7,Xueba100.com,https://www.crunchbase.com/organization/xueba100-com,Series B,50000000,USD,50000000,2015-02-02
Series B - SoYoung Technology,https://www.crunchbase.com/funding_round/soyoung-technology-series-b--8a4929f4,SoYoung Technology,https://www.crunchbase.com/organization/soyoung-technology,Series B,20000000,USD,20000000,2015-01-01
Series C - Haodf.com,https://www.crunchbase.com/funding_round/haodf-com-series-c--5d60ad87,Haodf.com,https://www.crunchbase.com/organization/haodf-com,Series C,60000000,USD,60000000,2015-01-01
Series A - Qingqing Jiajiao,https://www.crunchbase.com/funding_round/qingqing-jiajiao-series-a--1435e074,Qingqing Jiajiao,https://www.crunchbase.com/organization/qingqing-jiajiao,Series A,,,,2014-09-01
Series A - Renrendai,https://www.crunchbase.com/funding_round/renrendai-series-a--8bcb4441,Renrendai,https://www.crunchbase.com/organization/renrendai,Series A,130000000,USD,130000000,2014-01-06
Series A - Molbase,https://www.crunchbase.com/funding_round/molbase-series-a--e6340aa2,Molbase,https://www.crunchbase.com/organization/molbase,Series A,10000000,USD,10000000,2013-12-01
Series C - Douban,https://www.crunchbase.com/funding_round/douban-series-c--fbf3ecee,Douban,https://www.crunchbase.com/organization/douban,Series C,50000000,USD,50000000,2011-09-01
Series A - Guokr,https://www.crunchbase.com/funding_round/guokr-series-a--99e5de42,Guokr,https://www.crunchbase.com/organization/guokr,Series A,3000000,USD,3000000,2011-07-01
Series B - Haodf.com,https://www.crunchbase.com/funding_round/haodf-com-series-b--ef47c540,Haodf.com,https://www.crunchbase.com/organization/haodf-com,Series B,15000000,USD,15000000,2011-03-01
Angel Round - Mogujie,https://www.crunchbase.com/funding_round/mogujie-angel--9fbb3ff8,Mogujie,https://www.crunchbase.com/organization/mogujie,Angel,1000000,USD,1000000,2011-02-01
Series B - Quwan.com,https://www.crunchbase.com/funding_round/quwan-com-series-b--329fb26d,Quwan.com,https://www.crunchbase.com/organization/quwan-com,Series B,8000000,USD,8000000,2010-09-01
Angel Round - Yi Ji Electrical Appliance,https://www.crunchbase.com/funding_round/yi-ji-electrical-appliance-angel--be9abfab,Yi Ji Electrical Appliance,https://www.crunchbase.com/organization/yi-ji-electrical-appliance,Angel,,,,2010-03-01
Series C - Qihoo 360 Technology,https://www.crunchbase.com/funding_round/qihoo-360-technology-series-c--5819bdc3,Qihoo 360 Technology,https://www.crunchbase.com/organization/qihoo-360-technology,Series C,20000000,USD,20000000,2010-01-01
Seed Round - Guokr,https://www.crunchbase.com/funding_round/guokr-seed--1994b21f,Guokr,https://www.crunchbase.com/organization/guokr,Seed,1000000,USD,1000000,2010-01-01
Venture Round - Crystal Orange,https://www.crunchbase.com/funding_round/crystal-orange-series-unknown--51ed503e,Crystal Orange,https://www.crunchbase.com/organization/crystal-orange,Venture - Series Unknown,,,,2009-06-01
