Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Enevate,https://www.crunchbase.com/funding_round/enevate-series-c--f4fb0d13,Enevate,https://www.crunchbase.com/organization/enevate,Series C,,,,2018-10-29
Product Crowdfunding - Bluesmart,https://www.crunchbase.com/funding_round/bluesmart-product-crowdfunding--1c9200b9,Bluesmart,https://www.crunchbase.com/organization/bluesmart,Product Crowdfunding,1579449,USD,1579449,2017-07-30
Series A - Horizon Robotics,https://www.crunchbase.com/funding_round/horizon-robotics-series-a--419a73f5,Horizon Robotics,https://www.crunchbase.com/organization/horizon-robotics,Series A,,,,2016-06-02
Series C - Smarter Microelectronics,https://www.crunchbase.com/funding_round/smarter-microelectronics-series-c--200d95d2,Smarter Microelectronics,https://www.crunchbase.com/organization/smarter-microelectronics,Series C,14000000,USD,14000000,2016-06-15
Series B - Vion Technology,https://www.crunchbase.com/funding_round/vion-technology-series-b--2a452b57,Vion Technology,https://www.crunchbase.com/organization/vion-technology,Series B,20000000,USD,20000000,2017-12-08
Series A - Bluesmart,https://www.crunchbase.com/funding_round/bluesmart-series-a--d72513c8,Bluesmart,https://www.crunchbase.com/organization/bluesmart,Series A,12000000,USD,12000000,2017-01-23
Seed Round - Metamason,https://www.crunchbase.com/funding_round/metamason-seed--e4d30537,Metamason,https://www.crunchbase.com/organization/metamason,Seed,15000,USD,15000,2015-10-23
Venture Round - QD Vision,https://www.crunchbase.com/funding_round/qd-vision-series-unknown--7abaa7f6,QD Vision,https://www.crunchbase.com/organization/qd-vision,Venture - Series Unknown,22000000,USD,22000000,2015-11-09
Series C - Polyera,https://www.crunchbase.com/funding_round/polyera-series-c--6f15dbbd,Polyera,https://www.crunchbase.com/organization/polyera,Series C,24500000,USD,24500000,2012-04-05
Venture Round - ET Solar Group,https://www.crunchbase.com/funding_round/et-solar-group-series-unknown--56a3942c,ET Solar Group,https://www.crunchbase.com/organization/et-solar-group,Venture - Series Unknown,50000000,USD,50000000,2008-07-20
Venture Round - Pargo,https://www.crunchbase.com/funding_round/pargo-series-unknown--41c39c2b,Pargo,https://www.crunchbase.com/organization/pargo,Venture - Series Unknown,15000000,ZAR,1193872,2017-03-22
Series C - GaN Systems,https://www.crunchbase.com/funding_round/gan-systems-series-c--2b388ab5,GaN Systems,https://www.crunchbase.com/organization/gan-systems,Series C,20000000,USD,20000000,2015-05-07
"Seed Round - WiBotic, Inc",https://www.crunchbase.com/funding_round/wibotic-corp-seed--80a2038d,"WiBotic, Inc",https://www.crunchbase.com/organization/wibotic-corp,Seed,2500000,USD,2500000,2017-04-26
Series E - Phononic,https://www.crunchbase.com/funding_round/phononic-devices-series-e--bd21a4de,Phononic,https://www.crunchbase.com/organization/phononic-devices,Series E,40000000,USD,40000000,2016-11-16
Seed Round - Metamason,https://www.crunchbase.com/funding_round/metamason-seed--20a7b391,Metamason,https://www.crunchbase.com/organization/metamason,Seed,3000000,USD,3000000,2016-05-31
Series C - Phononic,https://www.crunchbase.com/funding_round/phononic-devices-series-c--8995df13,Phononic,https://www.crunchbase.com/organization/phononic-devices,Series C,21000000,USD,21000000,2013-12-12
Series A - Net Power Technology,https://www.crunchbase.com/funding_round/net-power-technology-series-a--a5c1bec4,Net Power Technology,https://www.crunchbase.com/organization/net-power-technology,Series A,3000000,USD,3000000,2008-12-18
Series B - Sensoro,https://www.crunchbase.com/funding_round/sensoro-series-b--bd687f65,Sensoro,https://www.crunchbase.com/organization/sensoro,Series B,18000000,USD,18000000,2017-04-24
Series B - Enevate,https://www.crunchbase.com/funding_round/enevate-series-b--11be18db,Enevate,https://www.crunchbase.com/organization/enevate,Series B,30000000,USD,30000000,2015-09-15
Series B - Rayvio,https://www.crunchbase.com/funding_round/rayvio-series-b--0e5428f1,Rayvio,https://www.crunchbase.com/organization/rayvio,Series B,26000000,USD,26000000,2016-04-26
Series E - Phononic,https://www.crunchbase.com/funding_round/phononic-devices-series-e--99feb232,Phononic,https://www.crunchbase.com/organization/phononic-devices,Series E,31000000,USD,31000000,2016-09-12
