Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - Surfing Technology,https://www.crunchbase.com/funding_round/surfing-technology-angel--df38f51f,Surfing Technology,https://www.crunchbase.com/organization/surfing-technology,Angel,,,,2018-08-31
Angel Round - Bhex,https://www.crunchbase.com/funding_round/bhex-angel--f4101abf,Bhex,https://www.crunchbase.com/organization/bhex,Angel,,,,2018-07-12
Series A - AnyShopStyle,https://www.crunchbase.com/funding_round/anyshopstyle-series-a--f9e9ba60,AnyShopStyle,https://www.crunchbase.com/organization/anyshopstyle,Series A,,,,2018-03-13
Series B - Bingobox,https://www.crunchbase.com/funding_round/bingobox-series-b--75fdeba9,Bingobox,https://www.crunchbase.com/organization/bingobox,Series B,80000000,USD,80000000,2018-01-17
Series C - Supermonkey,https://www.crunchbase.com/funding_round/supermonkey-series-c--f618caa7,Supermonkey,https://www.crunchbase.com/organization/supermonkey,Series C,,,,2017-12-11
Series A - BIZVANE,https://www.crunchbase.com/funding_round/bizvane-series-a--e42e717a,BIZVANE,https://www.crunchbase.com/organization/bizvane,Series A,,,,2017-11-21
Series B - Huajuan Mall,https://www.crunchbase.com/funding_round/huajuan-mall-series-b--f90b6a74,Huajuan Mall,https://www.crunchbase.com/organization/huajuan-mall,Series B,40000000,USD,40000000,2017-10-19
Series A - Bingobox,https://www.crunchbase.com/funding_round/bingobox-series-a--ff2c38e2,Bingobox,https://www.crunchbase.com/organization/bingobox,Series A,100000000,CNY,14705637,2017-07-03
Angel Round - Roadstar.ai,https://www.crunchbase.com/funding_round/roadstar-ai-angel--0255371d,Roadstar.ai,https://www.crunchbase.com/organization/roadstar-ai,Angel,10000000,USD,10000000,2017-05-01
Series B - Supermonkey,https://www.crunchbase.com/funding_round/supermonkey-series-b--b75bacaf,Supermonkey,https://www.crunchbase.com/organization/supermonkey,Series B,50000000,CNY,7265772,2017-02-01
Series B - Inagora,https://www.crunchbase.com/funding_round/inagora-series-b--be1260ba,Inagora,https://www.crunchbase.com/organization/inagora,Series B,26000000,USD,26000000,2016-11-29
Venture Round - MagMode,https://www.crunchbase.com/funding_round/magmode-series-unknown--46d1b9cc,MagMode,https://www.crunchbase.com/organization/magmode,Venture - Series Unknown,10000000,USD,10000000,2016-11-25
Series A - Hornet Networks,https://www.crunchbase.com/funding_round/hornet-networks-series-a--06807be3,Hornet Networks,https://www.crunchbase.com/organization/hornet-networks,Series A,8000000,USD,8000000,2016-11-22
Angel Round - Huajuan Mall,https://www.crunchbase.com/funding_round/huajuan-mall-angel--ba6ea99b,Huajuan Mall,https://www.crunchbase.com/organization/huajuan-mall,Angel,,,,2016-08-04
Series A - 99 Guangchangwu,https://www.crunchbase.com/funding_round/99-guangchangwu-series-a--c0415945,99 Guangchangwu,https://www.crunchbase.com/organization/99-guangchangwu,Series A,5000000,USD,5000000,2016-07-07
Series C - Blued,https://www.crunchbase.com/funding_round/blued-series-c--9eca0f85,Blued,https://www.crunchbase.com/organization/blued,Series C,,,,2016-06-01
Series A - WonderFull (Wandou Gongzhu),https://www.crunchbase.com/funding_round/wonderfull-wandou-gongzhu-series-a--43f5393e,WonderFull (Wandou Gongzhu),https://www.crunchbase.com/organization/wonderfull-wandou-gongzhu,Series A,10000000,USD,10000000,2016-05-18
Series A - Datawin,https://www.crunchbase.com/funding_round/datawin-series-a--25e12acf,Datawin,https://www.crunchbase.com/organization/datawin,Series A,5000000,USD,5000000,2016-05-05
Series A - Inagora,https://www.crunchbase.com/funding_round/inagora-series-a--6065caaa,Inagora,https://www.crunchbase.com/organization/inagora,Series A,20000000,USD,20000000,2016-02-28
Angel Round - WonderFull (Wandou Gongzhu),https://www.crunchbase.com/funding_round/wonderfull-wandou-gongzhu-angel--127797cf,WonderFull (Wandou Gongzhu),https://www.crunchbase.com/organization/wonderfull-wandou-gongzhu,Angel,,,,2016-02-18
Series B - Juzi Entertainment,https://www.crunchbase.com/funding_round/juzi-entertainment-series-b--a0d7e8af,Juzi Entertainment,https://www.crunchbase.com/organization/juzi-entertainment,Series B,15000000,USD,15000000,2016-01-09
Series B - Keep,https://www.crunchbase.com/funding_round/keep-3-series-b--e50ec55e,Keep,https://www.crunchbase.com/organization/keep-3,Series B,10000000,USD,10000000,2015-09-23
Series A - Keep,https://www.crunchbase.com/funding_round/keep-3-series-a--bda753a9,Keep,https://www.crunchbase.com/organization/keep-3,Series A,5000000,USD,5000000,2015-04-30
Series C - Jimubox,https://www.crunchbase.com/funding_round/jimubox-series-c--213036f4,Jimubox,https://www.crunchbase.com/organization/jimubox,Series C,84000000,USD,84000000,2015-04-23
Series B - mo9 (moKredit),https://www.crunchbase.com/funding_round/mokredit-series-b--346d7bb3,mo9 (moKredit),https://www.crunchbase.com/organization/mokredit,Series B,10000000,USD,10000000,2014-11-05
Series B - Jimubox,https://www.crunchbase.com/funding_round/jimubox-series-b--0ea3c74f,Jimubox,https://www.crunchbase.com/organization/jimubox,Series B,37190000,USD,37190000,2014-09-10
