Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - Binance,https://www.crunchbase.com/funding_round/binance-series-unknown--1d862df7,Binance,https://www.crunchbase.com/organization/binance,Venture - Series Unknown,,,,2018-10-23
Series B - Harbour Biomed,https://www.crunchbase.com/funding_round/harbour-biomed-series-b--f3cebe58,Harbour Biomed,https://www.crunchbase.com/organization/harbour-biomed,Series B,85000000,USD,85000000,2018-08-27
Series B - JuLive.com,https://www.crunchbase.com/funding_round/julive-com-series-b--cc8e2d67,JuLive.com,https://www.crunchbase.com/organization/julive-com,Series B,,,,2018-09-07
Series B - ioranges Automation,https://www.crunchbase.com/funding_round/ioranges-automation-series-b--6d0a03a0,ioranges Automation,https://www.crunchbase.com/organization/ioranges-automation,Series B,14000000,USD,14000000,2018-07-18
Series B - Loho Eyewear,https://www.crunchbase.com/funding_round/loho-holdings-series-b--84bd0577,Loho Eyewear,https://www.crunchbase.com/organization/loho-holdings,Series B,20000000,USD,20000000,2015-09-01
Series B - EasyOps,https://www.crunchbase.com/funding_round/easyops-series-b--de4d71f3,EasyOps,https://www.crunchbase.com/organization/easyops,Series B,,,,2018-07-11
Series A - AncSonic,https://www.crunchbase.com/funding_round/ancsonic-series-a--0880cf60,AncSonic,https://www.crunchbase.com/organization/ancsonic,Series A,,,,2018-03-01
Series C - Yaochufa,https://www.crunchbase.com/funding_round/yaochufa-series-c--bf2dac3a,Yaochufa,https://www.crunchbase.com/organization/yaochufa,Series C,35000000,USD,35000000,2014-08-29
Series C - Xueba100.com,https://www.crunchbase.com/funding_round/xueba100-com-series-c--26d1910d,Xueba100.com,https://www.crunchbase.com/organization/xueba100-com,Series C,100000000,USD,100000000,2017-01-23
Series C - SolidEnergy Systems,https://www.crunchbase.com/funding_round/solidenergy-series-c--082cfd6a,SolidEnergy Systems,https://www.crunchbase.com/organization/solidenergy,Series C,34000000,USD,34000000,2017-12-19
Series B - Easyretailpro,https://www.crunchbase.com/funding_round/easyretailpro-series-b--668ccd2c,Easyretailpro,https://www.crunchbase.com/organization/easyretailpro,Series B,20000000,USD,20000000,2017-12-04
