Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Corporate Round - Itcast.cn,https://www.crunchbase.com/funding_round/itcast-cn-corporate-round--92351788,Itcast.cn,https://www.crunchbase.com/organization/itcast-cn,Corporate Round,,,,2018-09-27
Venture Round - ezbuy,https://www.crunchbase.com/funding_round/ezbuy-series-unknown--bb75559c,ezbuy,https://www.crunchbase.com/organization/ezbuy,Venture - Series Unknown,17600000,USD,17600000,2018-05-24
Series B - Panda Selected,https://www.crunchbase.com/funding_round/panda-selected-series-b--9ce5a95e,Panda Selected,https://www.crunchbase.com/organization/panda-selected,Series B,,,,2018-08-15
Series A - 8Trip,https://www.crunchbase.com/funding_round/8trip-series-a--806ca00c,8Trip,https://www.crunchbase.com/organization/8trip,Series A,150000000,CNY,24553337,2013-11-12
Series B - FXTrip,https://www.crunchbase.com/funding_round/fxtrip-series-b--bd7318ee,FXTrip,https://www.crunchbase.com/organization/fxtrip,Series B,80000000,USD,80000000,2014-07-15
Series B - ezbuy,https://www.crunchbase.com/funding_round/ezbuy-series-b--f09c6fd1,ezbuy,https://www.crunchbase.com/organization/ezbuy,Series B,20000000,USD,20000000,2016-03-23
Series C - Blued,https://www.crunchbase.com/funding_round/blued-series-c--9eca0f85,Blued,https://www.crunchbase.com/organization/blued,Series C,,,,2016-06-01
Seed Round - NetDragon Education,https://www.crunchbase.com/funding_round/netdragon-education-seed--56d3b8b3,NetDragon Education,https://www.crunchbase.com/organization/netdragon-education,Seed,8000000,USD,8000000,2014-01-24
Venture Round - 8Trip,https://www.crunchbase.com/funding_round/8trip-series-unknown--c5ca1559,8Trip,https://www.crunchbase.com/organization/8trip,Venture - Series Unknown,24600000,USD,24600000,2013-11-13
Series B - FangDD.com,https://www.crunchbase.com/funding_round/fangdd-series-b--673edbaf,FangDD.com,https://www.crunchbase.com/organization/fangdd,Series B,80000000,USD,80000000,2014-07-15
Series C - Weidai,https://www.crunchbase.com/funding_round/weidai-series-c--0ad76a83,Weidai,https://www.crunchbase.com/organization/weidai,Series C,1000000000,CNY,152585306,2016-05-23
