Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Finger,https://www.crunchbase.com/funding_round/finger-series-b--1576e8b9,Finger,https://www.crunchbase.com/organization/finger,Series B,100000000,CNY,14441893,2018-10-10
Series B - Jushuitan Network Technology,https://www.crunchbase.com/funding_round/jushuitan-network-technology-series-b--4ba262d9,Jushuitan Network Technology,https://www.crunchbase.com/organization/jushuitan-network-technology,Series B,100000000,CNY,14606003,2018-09-20
Series B - Weimai,https://www.crunchbase.com/funding_round/weimai-series-b--ea4614b5,Weimai,https://www.crunchbase.com/organization/weimai,Series B,30000000,USD,30000000,2018-09-13
Series A - Yi Yi Health ( Health Cross ),https://www.crunchbase.com/funding_round/yi-yi-health-health-cross-series-a--0588c497,Yi Yi Health ( Health Cross ),https://www.crunchbase.com/organization/yi-yi-health-health-cross,Series A,50000000,CNY,7303748,2018-08-11
Series A - Yiyong Health,https://www.crunchbase.com/funding_round/yiyong-health-series-a--0dfde8c3,Yiyong Health,https://www.crunchbase.com/organization/yiyong-health,Series A,50000000,CNY,7313323,2018-08-08
Angel Round - Intelligent Learning,https://www.crunchbase.com/funding_round/intelligent-learning-angel--6c7eee97,Intelligent Learning,https://www.crunchbase.com/organization/intelligent-learning,Angel,20000000,CNY,2931175,2018-08-01
Series B - Haoyiku,https://www.crunchbase.com/funding_round/haoyiku-series-b--b5ff3397,Haoyiku,https://www.crunchbase.com/organization/haoyiku,Series B,,,,2018-07-17
Series A - Haoyiku,https://www.crunchbase.com/funding_round/haoyiku-series-a--4f2371cb,Haoyiku,https://www.crunchbase.com/organization/haoyiku,Series A,100000000,CNY,15449741,2018-06-20
Series B - Fadada.com,https://www.crunchbase.com/funding_round/fadada-com-series-b--5b8f3a93,Fadada.com,https://www.crunchbase.com/organization/fadada-com,Series B,,,,2018-06-13
Series A - Yaoyanshe,https://www.crunchbase.com/funding_round/yaoyanshe-series-a--255bf576,Yaoyanshe,https://www.crunchbase.com/organization/yaoyanshe,Series A,,,,2018-06-13
Series B - Danke Apartment,https://www.crunchbase.com/funding_round/danke-apartment-series-b--967afaf2,Danke Apartment,https://www.crunchbase.com/organization/danke-apartment,Series B,70000000,USD,70000000,2018-06-06
Series C - Haishangxian,https://www.crunchbase.com/funding_round/haishangxian-series-c--3efa0a33,Haishangxian,https://www.crunchbase.com/organization/haishangxian,Series C,,,,2018-05-17
Series A - North Ocean Photonics,https://www.crunchbase.com/funding_round/north-ocean-photonics-series-a--b0e6937a,North Ocean Photonics,https://www.crunchbase.com/organization/north-ocean-photonics,Series A,,,,2018-05-07
Series A - Share2,https://www.crunchbase.com/funding_round/share2-series-a--1fab00f2,Share2,https://www.crunchbase.com/organization/share2,Series A,,,,2018-05-04
Series B - Danke Apartment,https://www.crunchbase.com/funding_round/danke-apartment-series-b--0e657dce,Danke Apartment,https://www.crunchbase.com/organization/danke-apartment,Series B,100000000,USD,100000000,2018-02-26
Seed Round - Yawlih,https://www.crunchbase.com/funding_round/yawlih-seed--faad2054,Yawlih,https://www.crunchbase.com/organization/yawlih,Seed,,,,2018-01-18
Series A - Champzee,https://www.crunchbase.com/funding_round/champzee-series-a--e87843ba,Champzee,https://www.crunchbase.com/organization/champzee,Series A,10000000,USD,10000000,2017-12-20
Series B - Etong Healthcare,https://www.crunchbase.com/funding_round/etong-healthcare-series-b--f672484e,Etong Healthcare,https://www.crunchbase.com/organization/etong-healthcare,Series B,200000000,CNY,30212393,2017-12-07
Series A - iTrigger.cn,https://www.crunchbase.com/funding_round/itrigger-cn-series-a--72bcd95a,iTrigger.cn,https://www.crunchbase.com/organization/itrigger-cn,Series A,15000000,USD,15000000,2017-12-07
Seed Round - Yunhu Health,https://www.crunchbase.com/funding_round/yunhu-health-seed--cd436e2f,Yunhu Health,https://www.crunchbase.com/organization/yunhu-health,Seed,,,,2017-12-05
Series A - Xingbianli,https://www.crunchbase.com/funding_round/xingbianli-series-a--c6acd172,Xingbianli,https://www.crunchbase.com/organization/xingbianli,Series A,380000000,CNY,57572704,2017-11-01
Series A - Xiaodian,https://www.crunchbase.com/funding_round/xiaodian-series-a--c48a2339,Xiaodian,https://www.crunchbase.com/organization/xiaodian,Series A,100000000,CNY,14510247,2017-04-11
Series B - Er Geng,https://www.crunchbase.com/funding_round/er-geng-series-b--05f73ed2,Er Geng,https://www.crunchbase.com/organization/er-geng,Series B,150000000,CNY,21885030,2017-01-23
Series C - ofo,https://www.crunchbase.com/funding_round/ofo-series-c--97c18b20,ofo,https://www.crunchbase.com/organization/ofo,Series C,130000000,USD,130000000,2016-10-10
Series A - Fenda,https://www.crunchbase.com/funding_round/fenda-series-a--2664fc1d,Fenda,https://www.crunchbase.com/organization/fenda,Series A,25000000,USD,25000000,2016-06-28
Series C - Tantan,https://www.crunchbase.com/funding_round/tantan-series-c--b4bcfac2,Tantan,https://www.crunchbase.com/organization/tantan,Series C,32000000,USD,32000000,2016-05-18
Series A - S Financial,https://www.crunchbase.com/funding_round/scapital-series-a--1dcc9b56,S Financial,https://www.crunchbase.com/organization/scapital,Series A,30000000,CNY,4640539,2016-04-12
Series A - Kaistart,https://www.crunchbase.com/funding_round/kaistart-series-a--f7aed34f,Kaistart,https://www.crunchbase.com/organization/kaistart,Series A,,,,2016-02-20
Series A - Finger,https://www.crunchbase.com/funding_round/finger-series-a--0fe30368,Finger,https://www.crunchbase.com/organization/finger,Series A,5000000,USD,5000000,2016-01-01
Series A - Rokid,https://www.crunchbase.com/funding_round/rokid-series-a--e19d2f09,Rokid,https://www.crunchbase.com/organization/rokid,Series A,,,,2015-07-01
Seed Round - Music Kickup,https://www.crunchbase.com/funding_round/music-kickup-seed--6b33ae81,Music Kickup,https://www.crunchbase.com/organization/music-kickup,Seed,250000,EUR,345181,2013-10-25
