Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Microidea Technology,https://www.crunchbase.com/funding_round/microidea-technology-series-b--164ec699,Microidea Technology,https://www.crunchbase.com/organization/microidea-technology,Series B,,,,2018-05-08
Series A - 30sche.com,https://www.crunchbase.com/funding_round/30sche-com-series-a--89713675,30sche.com,https://www.crunchbase.com/organization/30sche-com,Series A,7900000,USD,7900000,2018-03-29
Series C - InMyShow,https://www.crunchbase.com/funding_round/inmyshow-series-c--095dca3e,InMyShow,https://www.crunchbase.com/organization/inmyshow,Series C,600000000,CNY,89963115,2017-08-14
Series A - Modian,https://www.crunchbase.com/funding_round/modian-series-a--eaf0cde5,Modian,https://www.crunchbase.com/organization/modian,Series A,16000000,USD,16000000,2018-02-27
Funding Round - Didi Chuxing,https://www.crunchbase.com/funding_round/didi-dache-undisclosed--f60fee35,Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,Funding Round,142000000,USD,142000000,2015-05-27
Series C - Toutiao,https://www.crunchbase.com/funding_round/toutiao-series-c--140955b6,Toutiao,https://www.crunchbase.com/organization/toutiao,Series C,100000000,USD,100000000,2014-06-03
Series E - Miaopai,https://www.crunchbase.com/funding_round/miaopai-series-e--7aa7f95a,Miaopai,https://www.crunchbase.com/organization/miaopai,Series E,500000000,USD,500000000,2016-11-22
Corporate Round - Zuoyou Video,https://www.crunchbase.com/funding_round/zuoyou-video-corporate-round--597a9035,Zuoyou Video,https://www.crunchbase.com/organization/zuoyou-video,Corporate Round,3000000,USD,3000000,2017-12-14
Series D - Miaopai,https://www.crunchbase.com/funding_round/miaopai-series-d--0d9391f8,Miaopai,https://www.crunchbase.com/organization/miaopai,Series D,200000000,USD,200000000,2015-11-24
Angel Round - 9158 Julur.com,https://www.crunchbase.com/funding_round/9158-julur-com-angel--dc945eef,9158 Julur.com,https://www.crunchbase.com/organization/9158-julur-com,Angel,30000000,CNY,4502184,2010-12-01
Series A - Tuolar.com,https://www.crunchbase.com/funding_round/tuolar-com-series-a--e04206ea,Tuolar.com,https://www.crunchbase.com/organization/tuolar-com,Series A,10000000,CNY,1601664,2012-11-01
Series A - Kuaishubao.com,https://www.crunchbase.com/funding_round/kuaishubao-com-series-a--5fbb093c,Kuaishubao.com,https://www.crunchbase.com/organization/kuaishubao-com,Series A,9000000,CNY,1428356,2012-04-01
