Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Rgenix,https://www.crunchbase.com/funding_round/rgenix-series-c--aa42ebff,Rgenix,https://www.crunchbase.com/organization/rgenix,Series C,40000000,USD,40000000,2018-10-09
Series A - Verge Genomics,https://www.crunchbase.com/funding_round/verge-genomics-series-a--8f56eb1d,Verge Genomics,https://www.crunchbase.com/organization/verge-genomics,Series A,32000000,USD,32000000,2018-07-17
Series D - Hua Medicine,https://www.crunchbase.com/funding_round/hua-medicine-series-d--30ae7016,Hua Medicine,https://www.crunchbase.com/organization/hua-medicine,Series D,117400000,USD,117400000,2018-03-27
Series B - Fog Pharmaceuticals,https://www.crunchbase.com/funding_round/fog-pharmaceuticals-series-b--5a0a75f1,Fog Pharmaceuticals,https://www.crunchbase.com/organization/fog-pharmaceuticals,Series B,66000000,USD,66000000,2018-05-16
Corporate Round - InSilico Medicine,https://www.crunchbase.com/funding_round/insilico-medicine-corporate-round--d96399b2,InSilico Medicine,https://www.crunchbase.com/organization/insilico-medicine,Corporate Round,5999950,USD,5999950,2018-06-12
Series A - JW Therapeutics,https://www.crunchbase.com/funding_round/jw-therapeutics-series-a--a9e1754f,JW Therapeutics,https://www.crunchbase.com/organization/jw-therapeutics,Series A,90000000,USD,90000000,2018-03-07
Series A - NuProbe,https://www.crunchbase.com/funding_round/nuprobe-series-a--93275f1d,NuProbe,https://www.crunchbase.com/organization/nuprobe,Series A,11000000,USD,11000000,2018-04-23
Seed Round - Engine Biosciences,https://www.crunchbase.com/funding_round/engine-biosciences-seed--d0d2694b,Engine Biosciences,https://www.crunchbase.com/organization/engine-biosciences,Seed,10000000,USD,10000000,2018-01-31
Series A - Transcriptic,https://www.crunchbase.com/funding_round/transcriptic-series-a--240a9b00,Transcriptic,https://www.crunchbase.com/organization/transcriptic,Series A,13400000,USD,13400000,2016-11-17
Series B - AnchorDx,https://www.crunchbase.com/funding_round/anchordx-series-b--f67911ee,AnchorDx,https://www.crunchbase.com/organization/anchordx,Series B,28000000,USD,28000000,2017-11-07
Series B - Forerunner Medical,https://www.crunchbase.com/funding_round/forerunner-medical-series-b--a41f6256,Forerunner Medical,https://www.crunchbase.com/organization/forerunner-medical,Series B,,,,2017-02-12
Series B - Avelas Biosciences,https://www.crunchbase.com/funding_round/avelas-biosciences-series-b--02de9f7e,Avelas Biosciences,https://www.crunchbase.com/organization/avelas-biosciences,Series B,6800000,USD,6800000,2014-01-09
Series A - ApoGen Biotechnologies,https://www.crunchbase.com/funding_round/apogen-biotechnologies-series-a--2f49aaae,ApoGen Biotechnologies,https://www.crunchbase.com/organization/apogen-biotechnologies,Series A,7000000,USD,7000000,2016-12-12
Series B - ALDEA Pharmaceuticals,https://www.crunchbase.com/funding_round/aldea-pharmaceuticals-series-b--b41f67d1,ALDEA Pharmaceuticals,https://www.crunchbase.com/organization/aldea-pharmaceuticals,Series B,24000000,USD,24000000,2014-08-25
Series B - CANbridge Life Sciences,https://www.crunchbase.com/funding_round/canbridge-life-sciences-series-b--1f4e6033,CANbridge Life Sciences,https://www.crunchbase.com/organization/canbridge-life-sciences,Series B,25000000,USD,25000000,2017-05-23
Series A - Rodeo Therapeutics,https://www.crunchbase.com/funding_round/rodeo-therapeutics-series-a--74d47ef8,Rodeo Therapeutics,https://www.crunchbase.com/organization/rodeo-therapeutics,Series A,5900000,USD,5900000,2017-07-25
Series B - UNITY Biotechnology,https://www.crunchbase.com/funding_round/unity-biotechnology-series-b--d53a8eb4,UNITY Biotechnology,https://www.crunchbase.com/organization/unity-biotechnology,Series B,116000000,USD,116000000,2016-10-27
Series D - DNAnexus,https://www.crunchbase.com/funding_round/dnanexus-series-d--64611a45,DNAnexus,https://www.crunchbase.com/organization/dnanexus,Series D,15000000,USD,15000000,2015-04-22
