Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series G - iQiyi,https://www.crunchbase.com/funding_round/iqiyi-series-g--26480b24,iQiyi,https://www.crunchbase.com/organization/iqiyi,Series G,1530000000,USD,1530000000,2017-02-21
Series C - Sensors Data,https://www.crunchbase.com/funding_round/sensors-data-series-c--7cd8d877,Sensors Data,https://www.crunchbase.com/organization/sensors-data,Series C,44000000,USD,44000000,2018-04-12
Series B - Infervision,https://www.crunchbase.com/funding_round/infervision-series-b--6552856b,Infervision,https://www.crunchbase.com/organization/infervision,Series B,300000000,CNY,47367047,2018-03-19
Series A - Easy Carry,https://www.crunchbase.com/funding_round/easy-carry-series-a--45d56740,Easy Carry,https://www.crunchbase.com/organization/easy-carry,Series A,18800000,USD,18800000,2018-01-19
Series B - DataCanvas,https://www.crunchbase.com/funding_round/datacanvas-series-b--91374064,DataCanvas,https://www.crunchbase.com/organization/datacanvas,Series B,15000000,USD,15000000,2018-03-28
Series C - Zuoyebang,https://www.crunchbase.com/funding_round/zuoyebang-series-c--8a242b56,Zuoyebang,https://www.crunchbase.com/organization/zuoyebang,Series C,150000000,USD,150000000,2017-08-14
Series D - Kuaikan Manhua,https://www.crunchbase.com/funding_round/kuaikan-manhua-series-d--1679f979,Kuaikan Manhua,https://www.crunchbase.com/organization/kuaikan-manhua,Series D,177000000,USD,177000000,2017-12-01
Series B - Zuoyebang,https://www.crunchbase.com/funding_round/zuoyebang-series-b--4532cce9,Zuoyebang,https://www.crunchbase.com/organization/zuoyebang,Series B,60000000,USD,60000000,2016-09-25
Series B - Lalamove,https://www.crunchbase.com/funding_round/easyvan-series-b--5973f469,Lalamove,https://www.crunchbase.com/organization/easyvan,Series B,30000000,USD,30000000,2017-01-10
Series C - Lalamove,https://www.crunchbase.com/funding_round/easyvan-series-c--77b9dd27,Lalamove,https://www.crunchbase.com/organization/easyvan,Series C,100000000,USD,100000000,2017-10-11
