Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Huisuanzhang,https://www.crunchbase.com/funding_round/huisuanzhang-series-c--3a83b840,Huisuanzhang,https://www.crunchbase.com/organization/huisuanzhang,Series C,,,,2018-09-26
Series C - ShareChat,https://www.crunchbase.com/funding_round/sharechat-series-c--0fe38b66,ShareChat,https://www.crunchbase.com/organization/sharechat,Series C,99230000,USD,99230000,2018-09-19
Series A - ZestMoney,https://www.crunchbase.com/funding_round/zestmoney-series-a--9a0de2b6,ZestMoney,https://www.crunchbase.com/organization/zestmoney,Series A,13400000,USD,13400000,2018-08-27
Series A - Samosa,https://www.crunchbase.com/funding_round/samosa-series-a--62f50423,Samosa,https://www.crunchbase.com/organization/samosa,Series A,7000000,USD,7000000,2018-08-03
Seed Round - Elevoc Technology,https://www.crunchbase.com/funding_round/elevoc-technology-seed--48390ffe,Elevoc Technology,https://www.crunchbase.com/organization/elevoc-technology,Seed,,,,2018-07-10
Series A - V-Joy Tech,https://www.crunchbase.com/funding_round/v-joy-tech-series-a--8373b7d0,V-Joy Tech,https://www.crunchbase.com/organization/v-joy-tech,Series A,7900000,USD,7900000,2018-03-23
Series B - Qutoutiao,https://www.crunchbase.com/funding_round/qutoutiao-series-b--f427eeb1,Qutoutiao,https://www.crunchbase.com/organization/qutoutiao,Series B,200000000,USD,200000000,2018-03-14
Series A - Shanhuishou,https://www.crunchbase.com/funding_round/shanhuishou-series-a--06e0ac40,Shanhuishou,https://www.crunchbase.com/organization/shanhuishou,Series A,100000000,CNY,15794419,2018-02-28
Series B - Yunyinggu,https://www.crunchbase.com/funding_round/shenzhen-yunyingu-technology-series-b--4fcb82fd,Yunyinggu,https://www.crunchbase.com/organization/shenzhen-yunyingu-technology,Series B,,,,2018-01-29
Series B - Hsuanzhang,https://www.crunchbase.com/funding_round/hsuanzhang-series-b--046b6209,Hsuanzhang,https://www.crunchbase.com/organization/hsuanzhang,Series B,200000000,CNY,31666363,2018-01-26
Series B - ShareChat,https://www.crunchbase.com/funding_round/sharechat-series-b--0dee9e3b,ShareChat,https://www.crunchbase.com/organization/sharechat,Series B,18200000,USD,18200000,2018-01-18
Series A - RozBuzz,https://www.crunchbase.com/funding_round/rozbuzz-series-a--a6d498fd,RozBuzz,https://www.crunchbase.com/organization/rozbuzz,Series A,,,,2017-11-30
Series B - Energy Monster,https://www.crunchbase.com/funding_round/energy-monster-series-b--42516d34,Energy Monster,https://www.crunchbase.com/organization/energy-monster,Series B,30000000,USD,30000000,2017-11-23
Angel Round - Tianjin Smate Technology,https://www.crunchbase.com/funding_round/tianjin-smate-technology-angel--18e3233b,Tianjin Smate Technology,https://www.crunchbase.com/organization/tianjin-smate-technology,Angel,,,,2017-11-08
Series B - Jinying Technology,https://www.crunchbase.com/funding_round/jinying-technology-series-b--98c7ebaf,Jinying Technology,https://www.crunchbase.com/organization/jinying-technology,Series B,40000000,USD,40000000,2017-11-08
Series A - Super SOCO,https://www.crunchbase.com/funding_round/super-soco-series-a--e4130069,Super SOCO,https://www.crunchbase.com/organization/super-soco,Series A,,,,2017-10-24
Series A - KrazyBee,https://www.crunchbase.com/funding_round/krazybee-series-a--db68b234,KrazyBee,https://www.crunchbase.com/organization/krazybee,Series A,8000000,USD,8000000,2017-10-16
Series C - Yuedongquan,https://www.crunchbase.com/funding_round/yuedongquan-series-c--1e969c1d,Yuedongquan,https://www.crunchbase.com/organization/yuedongquan,Series C,14000000,USD,14000000,2017-04-26
Series C - ofo,https://www.crunchbase.com/funding_round/ofo-series-c--97c18b20,ofo,https://www.crunchbase.com/organization/ofo,Series C,130000000,USD,130000000,2016-10-10
Series A - YI Technology,https://www.crunchbase.com/funding_round/yi-technology-series-a--e7fa2a34,YI Technology,https://www.crunchbase.com/organization/yi-technology,Series A,90000000,USD,90000000,2016-08-31
Series B - Blue Whale Media,https://www.crunchbase.com/funding_round/blue-whale-media-series-b--a1a5d654,Blue Whale Media,https://www.crunchbase.com/organization/blue-whale-media,Series B,15000000,USD,15000000,2016-06-29
Series B - Yeahmobi,https://www.crunchbase.com/funding_round/yeahmobi-series-b--39223176,Yeahmobi,https://www.crunchbase.com/organization/yeahmobi,Series B,25000000,USD,25000000,2016-04-11
Venture Round - Hungama,https://www.crunchbase.com/funding_round/hungama-digital-media-entertainment-pvt-ltd-series-unknown--86c0e44b,Hungama,https://www.crunchbase.com/organization/hungama-digital-media-entertainment-pvt-ltd,Venture - Series Unknown,25000000,USD,25000000,2016-04-04
Angel Round - Fumi Technology,https://www.crunchbase.com/funding_round/fumi-technology-angel--63ff520f,Fumi Technology,https://www.crunchbase.com/organization/fumi-technology,Angel,50000000,CNY,7699699,2016-01-01
Series A - Tiger Brokers,https://www.crunchbase.com/funding_round/tiger-brokers-series-a--937ffe00,Tiger Brokers,https://www.crunchbase.com/organization/tiger-brokers,Series A,15600000,USD,15600000,2015-09-10
Series A - Huitongda,https://www.crunchbase.com/funding_round/huitongda-series-a--349e6e6f,Huitongda,https://www.crunchbase.com/organization/huitongda,Series A,500000000,CNY,80837554,2015-07-02
Series B - Sunmi Technology,https://www.crunchbase.com/funding_round/sunmi-technology-series-b--d800fb5e,Sunmi Technology,https://www.crunchbase.com/organization/sunmi-technology,Series B,29000000,USD,29000000,2015-05-01
Series C - Jimubox,https://www.crunchbase.com/funding_round/jimubox-series-c--213036f4,Jimubox,https://www.crunchbase.com/organization/jimubox,Series C,84000000,USD,84000000,2015-04-23
Venture Round - Ninebot,https://www.crunchbase.com/funding_round/ninebot-series-unknown--f555db50,Ninebot,https://www.crunchbase.com/organization/ninebot,Venture - Series Unknown,80000000,USD,80000000,2015-04-15
Series B - Zimi,https://www.crunchbase.com/funding_round/zimi-series-b--125587c8,Zimi,https://www.crunchbase.com/organization/zimi,Series B,15000000,USD,15000000,2015-03-18
Series C - Lizhi,https://www.crunchbase.com/funding_round/lizhi-series-c--c33c833d,Lizhi,https://www.crunchbase.com/organization/lizhi,Series C,20000000,USD,20000000,2015-01-26
Series A - Chunmi Electronics Technology Co,https://www.crunchbase.com/funding_round/chunmi-electronics-technology-co-series-a--58ea2ffb,Chunmi Electronics Technology Co,https://www.crunchbase.com/organization/chunmi-electronics-technology-co,Series A,,,,2015-01-01
Post-IPO Equity - 21viaNet,https://www.crunchbase.com/funding_round/21vianet-post-ipo-equity--8890faf6,21viaNet,https://www.crunchbase.com/organization/21vianet,Post-IPO Equity,296000000,USD,296000000,2014-12-04
Series C - Misfit Wearables,https://www.crunchbase.com/funding_round/misfit-wearables-series-c--7614c350,Misfit Wearables,https://www.crunchbase.com/organization/misfit-wearables,Series C,40000000,USD,40000000,2014-12-02
Series F - iQiyi,https://www.crunchbase.com/funding_round/iqiyi-series-f--b102730a,iQiyi,https://www.crunchbase.com/organization/iqiyi,Series F,400000000,USD,400000000,2014-11-19
Venture Round - Careland,https://www.crunchbase.com/funding_round/careland-series-unknown--7434a28d,Careland,https://www.crunchbase.com/organization/careland,Venture - Series Unknown,14000000,USD,14000000,2014-10-09
Series A - iHealth Labs,https://www.crunchbase.com/funding_round/ihealth-lab-inc-series-a--6555d9b8,iHealth Labs,https://www.crunchbase.com/organization/ihealth-lab-inc,Series A,25000000,USD,25000000,2014-09-19
Series B - Jimubox,https://www.crunchbase.com/funding_round/jimubox-series-b--0ea3c74f,Jimubox,https://www.crunchbase.com/organization/jimubox,Series B,37190000,USD,37190000,2014-09-10
Series A - Sunmi Technology,https://www.crunchbase.com/funding_round/sunmi-technology-series-a--9c70f96a,Sunmi Technology,https://www.crunchbase.com/organization/sunmi-technology,Series A,12000000,USD,12000000,2014-08-01
Venture Round - Xunlei,https://www.crunchbase.com/funding_round/kankan-series-unknown--f8482675,Xunlei,https://www.crunchbase.com/organization/kankan,Venture - Series Unknown,310000000,USD,310000000,2014-04-06
Funding Round - Westhouse,https://www.crunchbase.com/funding_round/westhouse-undisclosed--454bf67a,Westhouse,https://www.crunchbase.com/organization/westhouse,Funding Round,20000000,USD,20000000,2014-02-16
Seed Round - Huami,https://www.crunchbase.com/funding_round/huami-seed--58774f5b,Huami,https://www.crunchbase.com/organization/huami,Seed,15000000,CNY,2473044,2014-01-01
Series A - Zimi,https://www.crunchbase.com/funding_round/zimi-series-a--52aebc56,Zimi,https://www.crunchbase.com/organization/zimi,Series A,,,,2014-01-01
Venture Round - GWC,https://www.crunchbase.com/funding_round/great-wall-club-series-unknown--4bb57090,GWC,https://www.crunchbase.com/organization/great-wall-club,Venture - Series Unknown,,,,2014-01-01
