Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Uhouzz,https://www.crunchbase.com/funding_round/uhouzz-series-b--57e9f2bb,Uhouzz,https://www.crunchbase.com/organization/uhouzz,Series B,,,,2018-10-26
Series A - Glympse Bio,https://www.crunchbase.com/funding_round/glympse-bio-series-a--16b616de,Glympse Bio,https://www.crunchbase.com/organization/glympse-bio,Series A,22000000,USD,22000000,2018-10-09
Series A - iChangtou.com,https://www.crunchbase.com/funding_round/ichangtou-com-series-a--c8e1ae42,iChangtou.com,https://www.crunchbase.com/organization/ichangtou-com,Series A,,,,2018-09-05
Seed Round - Eschoolpay,https://www.crunchbase.com/funding_round/eschoolpay-seed--6529778f,Eschoolpay,https://www.crunchbase.com/organization/eschoolpay,Seed,,,,2018-08-20
Series A - Tianxiang Aviation Technology,https://www.crunchbase.com/funding_round/tianxiang-aviation-technology-series-a--b4c8db96,Tianxiang Aviation Technology,https://www.crunchbase.com/organization/tianxiang-aviation-technology,Series A,10000000,CNY,1459002,2018-08-06
Series A - Yee Coffee,https://www.crunchbase.com/funding_round/yee-coffee-series-a--67b5114c,Yee Coffee,https://www.crunchbase.com/organization/yee-coffee,Series A,80000000,CNY,11672016,2018-08-06
Series A - Thornhill Medical,https://www.crunchbase.com/funding_round/thornhill-medical-series-a--571d0c63,Thornhill Medical,https://www.crunchbase.com/organization/thornhill-medical,Series A,,,,2018-07-19
Seed Round - Mad Science,https://www.crunchbase.com/funding_round/mad-science-3df1-seed--9c3ee8c3,Mad Science,https://www.crunchbase.com/organization/mad-science-3df1,Seed,,,,2018-06-29
Series A - Jingdaka,https://www.crunchbase.com/funding_round/jingdaka-series-a--751b790d,Jingdaka,https://www.crunchbase.com/organization/jingdaka,Series A,,,,2018-06-11
Series B - XiaoMa.Wang,https://www.crunchbase.com/funding_round/xiaoma-wang-series-b--3e2b086d,XiaoMa.Wang,https://www.crunchbase.com/organization/xiaoma-wang,Series B,,,,2018-05-03
Series A - AW Education International,https://www.crunchbase.com/funding_round/aw-education-international-series-a--b7a6dd1b,AW Education International,https://www.crunchbase.com/organization/aw-education-international,Series A,9500000,USD,9500000,2018-04-23
Series C - Nongfenqi,https://www.crunchbase.com/funding_round/nongfenqi-series-c--3ff1692e,Nongfenqi,https://www.crunchbase.com/organization/nongfenqi,Series C,,,,2018-04-09
Series A - Quentis Therapeutics,https://www.crunchbase.com/funding_round/quentis-therapeutics-series-a--716d8d1f,Quentis Therapeutics,https://www.crunchbase.com/organization/quentis-therapeutics,Series A,48000000,USD,48000000,2018-02-27
Series B - Ultivue,https://www.crunchbase.com/funding_round/ultivue-series-b--0af86219,Ultivue,https://www.crunchbase.com/organization/ultivue,Series B,20000000,USD,20000000,2018-01-23
Angel Round - Aibee,https://www.crunchbase.com/funding_round/alibee-angel--786edf1a,Aibee,https://www.crunchbase.com/organization/alibee,Angel,165000000,CNY,25607598,2018-01-16
