Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Magnet Finance,https://www.crunchbase.com/funding_round/magnetic-finance-series-b--eff97d41,Magnet Finance,https://www.crunchbase.com/organization/magnetic-finance,Series B,120000000,CNY,17281105,2018-10-24
Series A - Xtransfer,https://www.crunchbase.com/funding_round/xtransfer-series-a--171177f6,Xtransfer,https://www.crunchbase.com/organization/xtransfer,Series A,10000000,USD,10000000,2018-10-15
Series B - NeuCloud,https://www.crunchbase.com/funding_round/neucloud-series-b--9d953926,NeuCloud,https://www.crunchbase.com/organization/neucloud,Series B,100000000,CNY,14428348,2018-10-08
Corporate Round - Xianlaihuyu,https://www.crunchbase.com/funding_round/xianlaihuyu-corporate-round--6cb09ae5,Xianlaihuyu,https://www.crunchbase.com/organization/xianlaihuyu,Corporate Round,192000000,CNY,27593739,2018-10-26
Seed Round - Xtransfer,https://www.crunchbase.com/funding_round/xtransfer-seed--73c62e14,Xtransfer,https://www.crunchbase.com/organization/xtransfer,Seed,5000000,USD,5000000,2018-07-11
Venture Round - Click & Grow,https://www.crunchbase.com/funding_round/click-grow-series-unknown--74427679,Click & Grow,https://www.crunchbase.com/organization/click-grow,Venture - Series Unknown,11000000,USD,11000000,2018-10-30
Series C - PingCAP,https://www.crunchbase.com/funding_round/pingcap-series-c--0f92fa25,PingCAP,https://www.crunchbase.com/organization/pingcap,Series C,50000000,USD,50000000,2018-09-11
Series C - Zhao You,https://www.crunchbase.com/funding_round/51zhaoyou-com-series-c--b6e3f756,Zhao You,https://www.crunchbase.com/organization/51zhaoyou-com,Series C,150000000,USD,150000000,2018-08-01
Series C - Baibu,https://www.crunchbase.com/funding_round/baibu-series-c--2345a331,Baibu,https://www.crunchbase.com/organization/baibu,Series C,30000000,USD,30000000,2018-08-29
Series A - Immotor,https://www.crunchbase.com/funding_round/immotor-llc-series-a--f835b4e4,Immotor,https://www.crunchbase.com/organization/immotor-llc,Series A,15000000,USD,15000000,2018-07-27
Series A - Zilliz,https://www.crunchbase.com/funding_round/zilliz-series-a--276bbec5,Zilliz,https://www.crunchbase.com/organization/zilliz,Series A,10000000,USD,10000000,2018-01-15
