Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - MobileMD System,https://www.crunchbase.com/funding_round/mobilemd-system-series-d--14682be6,MobileMD System,https://www.crunchbase.com/organization/mobilemd-system,Series D,47600000,USD,47600000,2018-04-09
Series A - Weidai,https://www.crunchbase.com/funding_round/weidai-series-a--90db981a,Weidai,https://www.crunchbase.com/organization/weidai,Series A,,,,2014-12-01
Series C - Hwasbank.com,https://www.crunchbase.com/funding_round/hwasbank-com-series-c--69380314,Hwasbank.com,https://www.crunchbase.com/organization/hwasbank-com,Series C,15600000,USD,15600000,2018-01-23
Series A - Qingka FM,https://www.crunchbase.com/funding_round/qingka-fm-series-a--3feaa1aa,Qingka FM,https://www.crunchbase.com/organization/qingka-fm,Series A,,,,2018-05-28
Series A - 4K Garden,https://www.crunchbase.com/funding_round/4k-garden-series-a--97c89624,4K Garden,https://www.crunchbase.com/organization/4k-garden,Series A,10000000,USD,10000000,2018-01-11
Series B - Huimin,https://www.crunchbase.com/funding_round/huimin-series-b--eb91d31e,Huimin,https://www.crunchbase.com/organization/huimin,Series B,192000000,USD,192000000,2016-09-07
Angel Round - Kutuan,https://www.crunchbase.com/funding_round/kutuan-angel--24e8bcbc,Kutuan,https://www.crunchbase.com/organization/kutuan,Angel,8000000,CNY,1171427,2010-06-01
Series A - Bajiulin,https://www.crunchbase.com/funding_round/bajiulin-series-a--ee078f20,Bajiulin,https://www.crunchbase.com/organization/bajiulin,Series A,160000000,CNY,23071044,2017-01-04
Series C - MissFresh E-Commerce,https://www.crunchbase.com/funding_round/missfresh-e-commerce-series-c--ace53430,MissFresh E-Commerce,https://www.crunchbase.com/organization/missfresh-e-commerce,Series C,100000000,USD,100000000,2017-01-22
Series A - AMT,https://www.crunchbase.com/funding_round/amt-series-a--a111c691,AMT,https://www.crunchbase.com/organization/amt,Series A,50000000,CNY,7472350,2010-10-01
Series A - LC-Bio,https://www.crunchbase.com/funding_round/lc-bio-series-a--e90afce8,LC-Bio,https://www.crunchbase.com/organization/lc-bio,Series A,9600000,USD,9600000,2017-10-11
