Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Knowledge Vision,https://www.crunchbase.com/funding_round/knowledge-vision-series-a--b37f253b,Knowledge Vision,https://www.crunchbase.com/organization/knowledge-vision,Series A,,,,2018-10-09
Series A - Happyeasygo Group,https://www.crunchbase.com/funding_round/happyeasygo-group-series-a--f54bad5c,Happyeasygo Group,https://www.crunchbase.com/organization/happyeasygo-group,Series A,,,,2018-09-03
Series A - Hitomorrow,https://www.crunchbase.com/funding_round/hitomorrow-series-a--ea451e06,Hitomorrow,https://www.crunchbase.com/organization/hitomorrow,Series A,15000000,USD,15000000,2018-03-13
Series A - Love Tennis,https://www.crunchbase.com/funding_round/love-tennis-series-a--8a31aed2,Love Tennis,https://www.crunchbase.com/organization/love-tennis,Series A,,,,2017-11-03
Seed Round - Koala Reading,https://www.crunchbase.com/funding_round/koala-reading-seed--488363b1,Koala Reading,https://www.crunchbase.com/organization/koala-reading,Seed,30000000,CNY,4319841,2017-01-01
Series A - Ayi Laile,https://www.crunchbase.com/funding_round/ayi-laile-series-a--7d8996a6,Ayi Laile,https://www.crunchbase.com/organization/ayi-laile,Series A,,,,2014-08-05
Series A - Rong360,https://www.crunchbase.com/funding_round/rong360-series-a--8c40c52b,Rong360,https://www.crunchbase.com/organization/rong360,Series A,6000000,USD,6000000,2012-07-01
Series C - FClub,https://www.crunchbase.com/funding_round/fclub-series-c--10806410,FClub,https://www.crunchbase.com/organization/fclub,Series C,,,,2012-07-01
Angel Round - Tinman Arts,https://www.crunchbase.com/funding_round/chengdu-tinman-tech-angel--7a380d1a,Tinman Arts,https://www.crunchbase.com/organization/chengdu-tinman-tech,Angel,1000000,CNY,158706,2012-04-01
Series B - FClub,https://www.crunchbase.com/funding_round/fclub-series-b--fc0311b6,FClub,https://www.crunchbase.com/organization/fclub,Series B,15000000,USD,15000000,2012-03-01
Series C - Meilishuo,https://www.crunchbase.com/funding_round/meilishuo-series-c--d2902f21,Meilishuo,https://www.crunchbase.com/organization/meilishuo,Series C,10000000,USD,10000000,2011-11-23
Series A - Beijing Buding Fangzhou Science and Technology,https://www.crunchbase.com/funding_round/beijing-buding-fangzhou-science-and-technology-series-a--825efce2,Beijing Buding Fangzhou Science and Technology,https://www.crunchbase.com/organization/beijing-buding-fangzhou-science-and-technology,Series A,10000000,USD,10000000,2011-10-01
Series A - Doodle Mobile,https://www.crunchbase.com/funding_round/doodle-mobile-series-a--b4b93944,Doodle Mobile,https://www.crunchbase.com/organization/doodle-mobile,Series A,,,,2011-07-01
Series B - Meilishuo,https://www.crunchbase.com/funding_round/meilishuo-series-b--4517b0ab,Meilishuo,https://www.crunchbase.com/organization/meilishuo,Series B,20000000,USD,20000000,2011-06-01
Venture Round - FClub,https://www.crunchbase.com/funding_round/fclub-series-unknown--41ad195e,FClub,https://www.crunchbase.com/organization/fclub,Venture - Series Unknown,,,,2011-04-01
Angel Round - Youbei Game,https://www.crunchbase.com/funding_round/youbei-game-angel--0b851b7b,Youbei Game,https://www.crunchbase.com/organization/youbei-game,Angel,,,,2011-04-01
Series A - Wukong.com,https://www.crunchbase.com/funding_round/wukong-com-series-a--66dca629,Wukong.com,https://www.crunchbase.com/organization/wukong-com,Series A,3500000,USD,3500000,2011-04-01
Series B - Kingnet,https://www.crunchbase.com/funding_round/kingnet-series-b--0ce6c08f,Kingnet,https://www.crunchbase.com/organization/kingnet,Series B,15000000,USD,15000000,2011-02-01
Series B - Docin,https://www.crunchbase.com/funding_round/docin-series-b--a22b0135,Docin,https://www.crunchbase.com/organization/docin,Series B,,,,2010-11-01
Series A - Angel Group Holding Company,https://www.crunchbase.com/funding_round/angel-group-holding-company-series-a--2cd47176,Angel Group Holding Company,https://www.crunchbase.com/organization/angel-group-holding-company,Series A,16700000,USD,16700000,2010-09-01
Series C - POLYBONA,https://www.crunchbase.com/funding_round/polybona-series-c--5bf2a0e8,POLYBONA,https://www.crunchbase.com/organization/polybona,Series C,,,,2010-07-01
Series C - Yuanpei Translation,https://www.crunchbase.com/funding_round/yuanpei-translation-series-c--fbc79500,Yuanpei Translation,https://www.crunchbase.com/organization/yuanpei-translation,Series C,42900000,CNY,6326476,2010-07-01
Series B - Yesmywine,https://www.crunchbase.com/funding_round/yesmywine-series-b--50879a15,Yesmywine,https://www.crunchbase.com/organization/yesmywine,Series B,10000000,USD,10000000,2010-06-17
Series A - Mbaobao,https://www.crunchbase.com/funding_round/mbaobao-series-a--75526ad6,Mbaobao,https://www.crunchbase.com/organization/mbaobao,Series A,45000000,USD,45000000,2010-04-01
