Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Validere,https://www.crunchbase.com/funding_round/validere-technologies-seed--7df83fd1,Validere,https://www.crunchbase.com/organization/validere-technologies,Seed,7000000,USD,7000000,2018-10-30
Seed Round - Beam,https://www.crunchbase.com/funding_round/apac-escooters-beam-seed--445b77b3,Beam,https://www.crunchbase.com/organization/apac-escooters-beam,Seed,6400000,USD,6400000,2018-10-23
Angel Round - Garden Lis,https://www.crunchbase.com/funding_round/garden-lis-angel--18793bae,Garden Lis,https://www.crunchbase.com/organization/garden-lis,Angel,,,,2018-10-19
Seed Round - Oh My Green,https://www.crunchbase.com/funding_round/oh-my-green-seed--2c89674b,Oh My Green,https://www.crunchbase.com/organization/oh-my-green,Seed,20000000,USD,20000000,2018-10-17
Series B - TOGO,https://www.crunchbase.com/funding_round/togo-2add-series-b--f88fdab5,TOGO,https://www.crunchbase.com/organization/togo-2add,Series B,41800000,USD,41800000,2018-10-08
Series A - Threat Hunter,https://www.crunchbase.com/funding_round/threat-hunter-series-a--9019f82e,Threat Hunter,https://www.crunchbase.com/organization/threat-hunter,Series A,6000000,CNY,875005,2018-09-17
Angel Round - Babel Bank,https://www.crunchbase.com/funding_round/babel-bank-angel--74f3291c,Babel Bank,https://www.crunchbase.com/organization/babel-bank,Angel,,,,2018-09-10
Seed Round - Boniaohuiben,https://www.crunchbase.com/funding_round/boniaohuiben-seed--0b1914d1,Boniaohuiben,https://www.crunchbase.com/organization/boniaohuiben,Seed,10000000,CNY,1466211,2018-08-29
Seed Round - Fangti.com,https://www.crunchbase.com/funding_round/fangti-com-seed--c6c609c6,Fangti.com,https://www.crunchbase.com/organization/fangti-com,Seed,,,,2018-08-23
Series A - Youfu Clinic,https://www.crunchbase.com/funding_round/youfu-clinic-series-a--69b558ac,Youfu Clinic,https://www.crunchbase.com/organization/youfu-clinic,Series A,,,,2018-08-22
Angel Round - Nice Tuan,https://www.crunchbase.com/funding_round/nice-tuan-angel--06fae015,Nice Tuan,https://www.crunchbase.com/organization/nice-tuan,Angel,14600000,USD,14600000,2018-08-21
Angel Round - Shuidinongchang	(Water drop farm),https://www.crunchbase.com/funding_round/shuidinongchang-angel--a8bb2aab,Shuidinongchang	(Water drop farm),https://www.crunchbase.com/organization/shuidinongchang,Angel,,,,2018-08-10
Series B - Meipian,https://www.crunchbase.com/funding_round/meipian-series-b--72b2151d,Meipian,https://www.crunchbase.com/organization/meipian,Series B,14600000,USD,14600000,2018-08-08
Seed Round - Suiyuan Technology,https://www.crunchbase.com/funding_round/suiyuan-technology-seed--ffa25d1e,Suiyuan Technology,https://www.crunchbase.com/organization/suiyuan-technology,Seed,340000000,CNY,49762894,2018-08-07
Seed Round - Logos Network,https://www.crunchbase.com/funding_round/logos-network-seed--a80b09a3,Logos Network,https://www.crunchbase.com/organization/logos-network,Seed,3000000,USD,3000000,2018-08-02
Series B - Xiangwushuo,https://www.crunchbase.com/funding_round/xiangwushuo-series-b--eb3c31d8,Xiangwushuo,https://www.crunchbase.com/organization/xiangwushuo,Series B,65000000,USD,65000000,2018-08-01
Seed Round - Shape,https://www.crunchbase.com/funding_round/shape-6ef7-seed--d9a8e5f2,Shape,https://www.crunchbase.com/organization/shape-6ef7,Seed,,,,2018-07-30
Seed Round - Startor,https://www.crunchbase.com/funding_round/startor-seed--dc185834,Startor,https://www.crunchbase.com/organization/startor,Seed,10000000,CNY,1472428,2018-07-24
Series A - Zhijiabest,https://www.crunchbase.com/funding_round/zhijiabest-series-a--02a09c2d,Zhijiabest,https://www.crunchbase.com/organization/zhijiabest,Series A,10000000,CNY,1472428,2018-07-23
Series B - Advance.ai,https://www.crunchbase.com/funding_round/advance-ai-series-b--b47e8590,Advance.ai,https://www.crunchbase.com/organization/advance-ai,Series B,50000000,USD,50000000,2018-07-18
Series B - The Good Stuff,https://www.crunchbase.com/funding_round/the-good-stuff-series-b--342b5bb7,The Good Stuff,https://www.crunchbase.com/organization/the-good-stuff,Series B,50000000,USD,50000000,2018-07-17
Series A - ImageDT,https://www.crunchbase.com/funding_round/imagedt-series-a--98384bc3,ImageDT,https://www.crunchbase.com/organization/imagedt,Series A,,,,2018-07-17
Seed Round - Ruixun Biotech,https://www.crunchbase.com/funding_round/ruixun-biotech-seed--61e7bbd9,Ruixun Biotech,https://www.crunchbase.com/organization/ruixun-biotech,Seed,,,,2018-07-17
Seed Round - Kapwing,https://www.crunchbase.com/funding_round/kapwing-seed--4c5f8b88,Kapwing,https://www.crunchbase.com/organization/kapwing,Seed,1700000,USD,1700000,2018-07-16
Angel Round - Nineseals,https://www.crunchbase.com/funding_round/nineseals-angel--380a26c0,Nineseals,https://www.crunchbase.com/organization/nineseals,Angel,,,,2018-07-16
