Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - Saiyou Education,https://www.crunchbase.com/funding_round/saiyou-education-angel--9ce3555c,Saiyou Education,https://www.crunchbase.com/organization/saiyou-education,Angel,,,,2018-09-25
Series B - Liking Fit,https://www.crunchbase.com/funding_round/liking-fit-series-b--af519476,Liking Fit,https://www.crunchbase.com/organization/liking-fit,Series B,50000000,CNY,7766507,2018-01-15
Seed Round - Xiaoniaoshangxue,https://www.crunchbase.com/funding_round/xiaoniaoshangxue-seed--1a27838e,Xiaoniaoshangxue,https://www.crunchbase.com/organization/xiaoniaoshangxue,Seed,,,,2017-11-30
Series A - Ubike,https://www.crunchbase.com/funding_round/ubike-series-a--d5379ebe,Ubike,https://www.crunchbase.com/organization/ubike,Series A,150000000,CNY,22104391,2016-11-08
Series A - Yunzhangfang.com,https://www.crunchbase.com/funding_round/yunzhangfang-com-series-a--48a3ab9d,Yunzhangfang.com,https://www.crunchbase.com/organization/yunzhangfang-com,Series A,,,,2016-05-01
Series A - Zheng Yi Wireless Science and Technology,https://www.crunchbase.com/funding_round/zheng-yi-wireless-beijing-science-and-technology-limited-company-series-a--328db52d,Zheng Yi Wireless Science and Technology,https://www.crunchbase.com/organization/zheng-yi-wireless-beijing-science-and-technology-limited-company,Series A,1629549,USD,1629549,2014-03-01
Series A - Blued,https://www.crunchbase.com/funding_round/blued-series-a--b3691acd,Blued,https://www.crunchbase.com/organization/blued,Series A,1600000,USD,1600000,2014-02-23
Angel Round - Zurn,https://www.crunchbase.com/funding_round/zurn-international-e-commerce-co-ltd-angel--af840663,Zurn,https://www.crunchbase.com/organization/zurn-international-e-commerce-co-ltd,Angel,,,,2013-12-01
Angel Round - Petta,https://www.crunchbase.com/funding_round/petta-angel--72441fca,Petta,https://www.crunchbase.com/organization/petta,Angel,162364,USD,162364,2013-12-01
Angel Round - LIANAI,https://www.crunchbase.com/funding_round/lianai-angel--11575798,LIANAI,https://www.crunchbase.com/organization/lianai,Angel,162364,USD,162364,2013-12-01
Venture Round - Scrip-t,https://www.crunchbase.com/funding_round/script-information-technology-co-ltd-series-unknown--08211e41,Scrip-t,https://www.crunchbase.com/organization/script-information-technology-co-ltd,Venture - Series Unknown,162364,USD,162364,2013-11-01
Series B - Youjia,https://www.crunchbase.com/funding_round/youjia-series-b--ebaf3a4f,Youjia,https://www.crunchbase.com/organization/youjia,Series B,1000000,USD,1000000,2013-11-01
Venture Round - AA Carpooling Website,https://www.crunchbase.com/funding_round/aa-carpooling-website-series-unknown--3ee1b49d,AA Carpooling Website,https://www.crunchbase.com/organization/aa-carpooling-website,Venture - Series Unknown,,,,2013-10-01
Series A - Aunt Kitchen,https://www.crunchbase.com/funding_round/shanghai-aunt-kitchen-network-series-a--a9c02494,Aunt Kitchen,https://www.crunchbase.com/organization/shanghai-aunt-kitchen-network,Series A,162364,USD,162364,2013-09-01
Angel Round - Danlan,https://www.crunchbase.com/funding_round/danlan-website-angel--fef63a80,Danlan,https://www.crunchbase.com/organization/danlan-website,Angel,487092,USD,487092,2013-08-01
Angel Round - 51aiya.com,https://www.crunchbase.com/funding_round/i-want-to-see-dentist-website-angel--f7f55382,51aiya.com,https://www.crunchbase.com/organization/i-want-to-see-dentist-website,Angel,389673,USD,389673,2013-08-01
Series A - Power Union,https://www.crunchbase.com/funding_round/power-union-beijing-technology-co-ltd-series-a--8b4d02d4,Power Union,https://www.crunchbase.com/organization/power-union-beijing-technology-co-ltd,Series A,1948368,USD,1948368,2013-08-01
Angel Round - Rent Here,https://www.crunchbase.com/funding_round/rent-here-angel--f3b3adec,Rent Here,https://www.crunchbase.com/organization/rent-here,Angel,324728,USD,324728,2013-08-01
Series A - DaoliCloud,https://www.crunchbase.com/funding_round/daolicloud-information-technology-beijing-co-ltd-series-a--0f6f302b,DaoliCloud,https://www.crunchbase.com/organization/daolicloud-information-technology-beijing-co-ltd,Series A,811820,USD,811820,2013-07-01
Series A - YuanV,https://www.crunchbase.com/funding_round/beijing-yuanv-software-co-ltd-series-a--182e40ea,YuanV,https://www.crunchbase.com/organization/beijing-yuanv-software-co-ltd,Series A,2435460,USD,2435460,2013-07-01
Angel Round - Timeet,https://www.crunchbase.com/funding_round/timeet-angel--da52e871,Timeet,https://www.crunchbase.com/organization/timeet,Angel,162364,USD,162364,2013-07-01
Series A - wst.cn,https://www.crunchbase.com/funding_round/two-springs-net-series-a--346c68f6,wst.cn,https://www.crunchbase.com/organization/two-springs-net,Series A,162364,USD,162364,2013-06-01
Venture Round - xiao qu wu you,https://www.crunchbase.com/funding_round/worry-free-community-series-unknown--875d5da0,xiao qu wu you,https://www.crunchbase.com/organization/worry-free-community,Venture - Series Unknown,,,,2013-05-01
Venture Round - Crack,https://www.crunchbase.com/funding_round/crack-series-unknown--6faca9b2,Crack,https://www.crunchbase.com/organization/crack,Venture - Series Unknown,,,,2013-05-01
Venture Round - dabanniu.com,https://www.crunchbase.com/funding_round/girl-makeover-series-unknown--e3f62d81,dabanniu.com,https://www.crunchbase.com/organization/girl-makeover,Venture - Series Unknown,,,,2013-05-01
