Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - 91 Boyuan Wireless,https://www.crunchbase.com/funding_round/91-boyuan-wireles-series-b--83eebe05,91 Boyuan Wireless,https://www.crunchbase.com/organization/91-boyuan-wireles,Series B,30000000,USD,30000000,2011-12-01
Series B - The Easou Technology,https://www.crunchbase.com/funding_round/the-easou-technology-series-b--a55d4c94,The Easou Technology,https://www.crunchbase.com/organization/the-easou-technology,Series B,2750000,USD,2750000,2006-09-01
Venture Round - Diodes Incorporated,https://www.crunchbase.com/funding_round/diodes-incorporated-series-unknown--0097d8a1,Diodes Incorporated,https://www.crunchbase.com/organization/diodes-incorporated,Venture - Series Unknown,1000000,USD,1000000,2004-04-01
Series B - R2G,https://www.crunchbase.com/funding_round/r2g-series-b--efe3dc1c,R2G,https://www.crunchbase.com/organization/r2g,Series B,220000,USD,220000,2006-12-01
Venture Round - 100e.com,https://www.crunchbase.com/funding_round/100e-com-series-unknown--a136f7eb,100e.com,https://www.crunchbase.com/organization/100e-com,Venture - Series Unknown,1500000,USD,1500000,2006-09-01
Series B - Sunfun Info,https://www.crunchbase.com/funding_round/sunfun-info-series-b--244d87f4,Sunfun Info,https://www.crunchbase.com/organization/sunfun-info,Series B,,,,2006-10-05
Series G - Shanxi Zinc Industry Group,https://www.crunchbase.com/funding_round/shanxi-zinc-industry-group-co-ltd-series-g--21966451,Shanxi Zinc Industry Group,https://www.crunchbase.com/organization/shanxi-zinc-industry-group-co-ltd,Series G,26000000,USD,26000000,2007-11-01
Venture Round - 100e.com,https://www.crunchbase.com/funding_round/100e-com-series-unknown--22a86670,100e.com,https://www.crunchbase.com/organization/100e-com,Venture - Series Unknown,3000000,USD,3000000,2006-01-01
Series A - Tianmeng Network Technology,https://www.crunchbase.com/funding_round/tianmeng-network-technology-series-a--4eca663b,Tianmeng Network Technology,https://www.crunchbase.com/organization/tianmeng-network-technology,Series A,4000000,USD,4000000,2002-05-01
Series B - Tianmeng Network Technology,https://www.crunchbase.com/funding_round/tianmeng-network-technology-series-b--acb86b39,Tianmeng Network Technology,https://www.crunchbase.com/organization/tianmeng-network-technology,Series B,,,,2003-08-01
Series A - Wuxi Qiaolian Wind Power Technology,https://www.crunchbase.com/funding_round/wuxi-qiaolian-wind-power-technology-series-a--ddb30b5c,Wuxi Qiaolian Wind Power Technology,https://www.crunchbase.com/organization/wuxi-qiaolian-wind-power-technology,Series A,70000000,USD,70000000,2008-06-23
Series A - MNC Media Investment,https://www.crunchbase.com/funding_round/linktone-series-a--ae25fb6d,MNC Media Investment,https://www.crunchbase.com/organization/linktone,Series A,,,,2001-04-01
Series A - The Easou Technology,https://www.crunchbase.com/funding_round/the-easou-technology-series-a--9423494d,The Easou Technology,https://www.crunchbase.com/organization/the-easou-technology,Series A,400000,USD,400000,2006-01-01
Series C - YETI Group,https://www.crunchbase.com/funding_round/yeti-group-series-c--421c1734,YETI Group,https://www.crunchbase.com/organization/yeti-group,Series C,12000000,USD,12000000,2008-11-19
Venture Round - Beijing Zhongka Century Animation Culture Media,https://www.crunchbase.com/funding_round/beijing-zhongka-century-animation-culture-media-series-unknown--2cc9d6c1,Beijing Zhongka Century Animation Culture Media,https://www.crunchbase.com/organization/beijing-zhongka-century-animation-culture-media,Venture - Series Unknown,,,,2007-05-01
Post-IPO Equity - Diodes Incorporated,https://www.crunchbase.com/funding_round/diodes-incorporated-post-ipo-equity--4872e903,Diodes Incorporated,https://www.crunchbase.com/organization/diodes-incorporated,Post-IPO Equity,14000000,USD,14000000,2002-12-01
Venture Round - Alchip,https://www.crunchbase.com/funding_round/alchip-technologies-inc-series-unknown--a31e4f27,Alchip,https://www.crunchbase.com/organization/alchip-technologies-inc,Venture - Series Unknown,3000000,USD,3000000,2003-05-01
"Venture Round - Ether Optronics (Suzhou) Co., Ltd.",https://www.crunchbase.com/funding_round/ether-optronics-suzhou-co-ltd-series-unknown--6794ebde,"Ether Optronics (Suzhou) Co., Ltd.",https://www.crunchbase.com/organization/ether-optronics-suzhou-co-ltd,Venture - Series Unknown,1000000,USD,1000000,2006-07-01
Venture Round - Alchip,https://www.crunchbase.com/funding_round/alchip-technologies-inc-series-unknown--24a4982d,Alchip,https://www.crunchbase.com/organization/alchip-technologies-inc,Venture - Series Unknown,,,,2004-10-01
Series A - R2G,https://www.crunchbase.com/funding_round/r2g-series-a--9a65d176,R2G,https://www.crunchbase.com/organization/r2g,Series A,5000000,USD,5000000,2005-09-01
"Venture Round - Ether Optronics (Suzhou) Co., Ltd.",https://www.crunchbase.com/funding_round/ether-optronics-suzhou-co-ltd-series-unknown--c53be52f,"Ether Optronics (Suzhou) Co., Ltd.",https://www.crunchbase.com/organization/ether-optronics-suzhou-co-ltd,Venture - Series Unknown,1000000,USD,1000000,2004-12-01
