# Directed graph: investor_network_directed_unweighted.txt 
# Nodes: 512 Edges: 1914
# FromNodeId	ToNodeId
184	17
184	119
184	359
150	3
150	154
258	0
258	15
490	20
95	4
95	61
254	10
254	13
254	127
254	132
254	341
327	0
327	1
275	3
275	30
262	63
262	68
262	102
262	273
113	63
395	10
395	39
127	0
127	3
127	20
127	22
127	34
127	63
127	68
127	73
127	102
127	117
127	146
134	2
134	4
134	5
134	29
134	96
134	213
80	2
80	159
131	10
131	17
131	47
131	72
131	123
477	181
61	1
61	2
61	3
61	10
61	20
61	31
61	33
61	39
61	49
61	102
61	343
410	9
410	13
410	55
410	166
410	287
484	137
162	248
280	0
126	1
126	107
126	173
126	267
45	0
45	1
45	3
45	30
45	167
158	9
158	116
158	119
158	139
158	168
158	376
158	443
233	8
233	21
233	101
233	108
174	3
174	240
84	4
84	10
84	17
84	20
84	27
84	39
84	177
3	0
3	1
3	2
3	4
3	5
3	8
3	10
3	13
3	20
3	22
3	23
3	25
3	29
3	30
3	33
3	39
3	41
3	49
3	58
3	61
3	62
3	63
3	64
3	73
3	77
3	79
3	85
3	87
3	103
3	107
3	117
3	132
3	133
3	138
3	146
3	147
3	162
3	165
3	173
3	225
3	229
3	243
3	273
3	285
3	294
3	343
3	426
326	49
326	79
302	118
85	13
85	43
85	79
85	104
85	225
290	4
485	0
485	3
485	154
287	13
287	55
287	166
77	0
77	1
77	3
77	8
77	13
77	30
77	33
77	104
77	113
77	231
77	273
42	13
42	21
42	22
42	27
42	37
42	43
42	285
42	313
99	205
64	1
64	3
64	45
64	160
253	32
294	3
294	85
121	3
121	21
368	231
13	0
13	1
13	3
13	4
13	20
13	24
13	25
13	31
13	34
13	37
13	43
13	55
13	62
13	72
13	78
13	85
13	114
13	133
13	156
13	197
13	219
13	251
13	294
13	349
13	391
13	435
13	479
200	0
200	3
200	15
200	19
200	52
200	61
200	102
30	0
30	1
30	3
30	5
30	8
30	10
30	11
30	12
30	20
30	25
30	27
30	31
30	32
30	70
30	77
30	80
30	174
30	262
30	269
30	285
190	4
119	184
119	186
344	340
16	0
16	9
16	13
16	17
16	27
16	49
16	61
16	81
16	128
16	149
35	9
35	29
35	53
35	64
35	132
35	355
111	90
111	227
186	40
186	92
135	2
135	4
135	9
135	15
135	50
135	62
135	64
135	69
135	156
135	449
376	1
376	133
376	158
125	2
125	9
125	11
125	47
125	101
210	1
480	37
235	341
1	0
1	2
1	3
1	4
1	5
1	7
1	8
1	9
1	10
1	11
1	13
1	15
1	17
1	19
1	20
1	21
1	22
1	25
1	27
1	29
1	30
1	31
1	32
1	33
1	37
1	41
1	43
1	49
1	52
1	53
1	54
1	56
1	58
1	63
1	70
1	73
1	77
1	78
1	89
1	93
1	101
1	103
1	107
1	114
1	117
1	126
1	127
1	144
1	146
1	154
1	159
1	161
1	173
1	179
1	185
1	192
1	228
1	251
1	267
1	268
1	287
1	341
1	431
293	10
293	56
293	154
177	10
177	20
177	39
177	64
177	84
313	37
313	43
282	84
282	97
282	111
123	0
123	4
123	23
123	89
123	108
194	87
203	29
203	30
203	59
203	61
20	0
20	1
20	2
20	3
20	8
20	9
20	10
20	22
20	25
20	39
20	40
20	41
20	47
20	58
20	62
20	63
20	68
20	73
20	84
20	102
20	117
20	127
20	146
20	162
20	177
20	187
20	197
464	166
228	4
228	32
307	340
303	0
303	20
303	39
303	109
303	138
303	233
47	7
47	10
47	17
47	27
47	54
47	128
47	171
222	54
36	69
36	84
168	64
168	132
168	340
168	344
11	1
11	2
11	3
11	4
11	5
11	8
11	9
11	10
11	20
11	24
11	25
11	27
11	29
11	30
11	31
11	33
11	41
11	50
11	55
11	56
11	58
11	61
11	63
11	88
11	101
11	107
11	115
11	119
11	125
11	127
11	139
11	147
11	155
11	158
11	235
11	285
11	376
114	13
114	25
114	34
114	72
114	161
114	227
117	3
117	33
117	55
117	156
117	435
154	1
154	4
154	10
154	11
154	56
154	121
154	172
268	0
268	4
268	10
268	13
268	20
268	25
268	55
268	62
268	72
268	114
268	138
268	146
268	333
92	118
92	139
257	2
257	88
57	0
57	1
57	2
57	4
57	9
57	17
57	42
57	54
57	97
57	148
57	224
341	34
341	77
83	4
83	8
83	10
83	21
83	44
83	84
83	101
83	108
83	163
83	453
41	0
41	7
41	11
41	22
41	33
41	50
41	61
41	77
41	89
41	159
41	287
273	13
273	103
106	4
106	8
106	10
106	20
106	72
106	174
439	19
439	118
274	141
274	287
46	10
46	20
46	32
46	253
108	9
160	1
160	13
160	20
160	55
160	60
160	64
160	103
160	104
160	117
160	156
160	197
160	435
28	15
28	21
28	27
28	30
28	41
28	45
28	67
28	467
216	13
285	22
377	0
377	5
377	11
377	53
377	255
455	5
455	8
455	10
455	106
54	3
54	8
54	9
54	20
54	33
54	63
54	167
43	13
43	25
43	37
43	72
43	103
43	138
43	146
43	247
43	313
73	0
73	2
73	3
73	5
73	104
73	123
73	153
73	207
356	63
27	0
27	2
27	4
27	7
27	10
27	11
27	17
27	21
27	23
27	24
27	25
27	30
27	31
27	37
27	41
27	42
27	44
27	50
27	72
27	80
27	81
27	84
27	128
27	442
26	1
26	2
26	3
26	4
26	8
26	15
26	20
26	29
26	31
26	39
26	41
26	49
26	50
26	52
26	61
26	78
26	81
26	287
38	0
38	3
38	5
38	12
38	28
38	34
38	46
38	80
38	115
38	146
38	194
38	296
38	380
15	0
15	1
15	2
15	4
15	5
15	8
15	9
15	11
15	13
15	20
15	23
15	28
15	31
15	37
15	42
15	43
15	54
15	64
15	69
15	70
15	88
15	90
15	104
15	111
15	115
15	117
15	166
15	464
260	60
260	140
5	0
5	1
5	2
5	3
5	4
5	8
5	10
5	11
5	12
5	13
5	15
5	17
5	21
5	22
5	23
5	24
5	27
5	28
5	29
5	30
5	31
5	32
5	34
5	38
5	49
5	52
5	53
5	56
5	57
5	59
5	61
5	63
5	70
5	72
5	77
5	115
5	154
5	161
5	174
5	255
5	296
32	1
32	2
32	3
32	4
32	9
32	22
32	23
32	30
32	31
32	47
32	59
32	84
32	94
32	97
32	111
32	113
32	128
32	154
32	227
32	243
32	253
32	254
32	282
32	285
153	19
153	33
153	41
153	89
153	123
68	43
234	272
234	285
34	2
34	7
34	9
34	11
34	43
34	87
213	4
213	59
315	4
315	10
315	21
315	83
315	163
431	1
19	1
19	3
19	4
19	13
19	17
19	33
19	35
19	43
19	45
19	89
19	98
19	100
19	118
19	153
19	231
19	264
19	368
19	439
19	473
53	0
53	29
53	35
53	44
53	49
53	72
72	13
72	17
72	33
72	114
170	50
71	2
71	9
71	40
71	382
59	0
59	1
59	3
59	24
59	30
59	85
59	104
59	112
59	225
286	4
286	69
286	131
17	0
17	1
17	2
17	4
17	5
17	10
17	21
17	26
17	27
17	28
17	33
17	57
17	72
17	84
17	126
17	148
17	184
178	53
178	80
178	112
178	232
146	3
146	13
146	114
146	221
207	0
207	2
207	22
207	107
207	225
151	5
151	13
151	31
31	1
31	2
31	3
31	4
31	5
31	7
31	10
31	15
31	30
31	64
31	113
31	146
31	187
291	20
291	79
291	127
67	0
67	13
67	17
67	45
67	49
67	167
67	347
139	158
139	291
305	0
305	1
305	5
305	13
305	34
215	0
215	1
215	5
215	34
4	0
4	1
4	2
4	3
4	5
4	7
4	8
4	9
4	10
4	11
4	13
4	15
4	17
4	18
4	19
4	20
4	21
4	22
4	23
4	24
4	25
4	26
4	27
4	28
4	31
4	32
4	33
4	34
4	37
4	39
4	41
4	43
4	49
4	50
4	52
4	53
4	54
4	56
4	57
4	58
4	59
4	61
4	62
4	63
4	64
4	69
4	70
4	72
4	83
4	84
4	85
4	89
4	96
4	104
4	123
4	138
4	146
4	148
4	162
4	163
4	190
4	208
4	221
4	225
4	228
4	235
4	243
4	254
4	268
4	286
4	315
4	317
4	322
4	356
4	378
263	61
263	159
89	19
89	41
89	93
89	94
138	0
138	13
138	75
138	114
138	335
301	20
301	79
301	127
301	291
128	105
475	0
475	5
498	55
353	0
353	11
353	57
451	0
451	5
182	1
182	9
182	43
182	54
182	268
169	64
156	3
156	8
156	13
156	53
156	127
156	180
156	341
60	5
60	10
60	13
60	21
60	29
60	53
60	55
60	117
60	156
60	160
60	435
75	0
384	7
304	62
155	2
155	9
155	11
155	25
155	40
155	59
155	119
155	158
155	186
155	187
155	276
6	10
362	23
362	250
9	1
9	2
9	3
9	4
9	11
9	13
9	17
9	20
9	22
9	26
9	29
9	34
9	40
9	41
9	54
9	55
9	63
9	64
9	68
9	69
9	101
9	114
9	155
9	159
9	163
9	166
9	167
9	197
9	208
9	221
9	234
9	250
9	257
9	276
9	287
9	373
9	410
9	417
9	428
469	0
469	1
65	0
65	75
124	2
225	1
225	3
225	4
225	13
225	79
225	85
225	104
225	167
309	1
309	2
147	3
147	274
24	0
24	1
24	2
24	3
24	4
24	5
24	16
24	17
24	20
24	21
24	23
24	25
24	27
24	34
24	37
24	59
24	63
24	127
24	235
132	3
132	85
102	0
102	1
102	3
102	31
102	68
56	1
56	3
56	5
56	10
56	11
56	43
56	44
56	121
56	154
56	201
56	404
7	0
7	1
7	3
7	4
7	22
7	34
7	39
7	41
7	48
7	50
7	55
7	77
7	101
7	145
7	148
7	150
7	170
7	204
7	384
7	449
70	1
70	3
70	93
70	192
70	273
70	382
179	1
243	49
243	79
269	195
105	128
105	157
220	9
220	20
220	197
112	21
112	43
112	247
112	413
112	414
21	1
21	2
21	4
21	5
21	8
21	10
21	13
21	17
21	24
21	25
21	27
21	29
21	31
21	37
21	42
21	43
21	52
21	59
21	60
21	70
21	77
21	83
21	101
21	108
21	112
21	113
21	121
21	127
21	155
21	162
21	193
21	233
21	247
21	315
21	325
21	372
21	406
103	1
103	20
103	104
103	160
81	15
98	100
52	0
52	2
52	3
52	4
52	5
52	7
52	10
52	11
52	13
52	26
52	27
52	29
52	31
52	39
52	61
52	63
52	102
52	128
52	200
52	356
357	41
55	0
55	1
55	13
55	75
55	127
55	192
55	341
55	446
394	10
394	20
394	24
299	53
104	0
104	1
104	2
104	3
104	4
104	11
104	13
104	33
104	43
104	56
104	79
104	85
104	207
104	225
104	227
39	0
39	1
39	4
39	5
39	7
39	10
39	20
39	22
39	23
39	25
39	30
39	52
39	63
39	77
39	85
39	93
39	103
39	104
39	134
39	159
39	191
39	225
39	347
39	352
39	356
159	1
159	9
159	10
159	41
159	114
141	0
141	26
141	43
292	247
171	47
171	119
171	488
62	2
62	3
62	4
62	5
62	8
62	9
62	33
62	64
62	96
62	206
163	4
163	10
163	21
163	49
163	79
163	83
163	315
379	1
50	33
50	60
312	20
312	57
312	187
63	0
63	1
63	2
63	3
63	4
63	8
63	10
63	20
63	22
63	25
63	27
63	29
63	39
63	42
63	52
63	58
63	73
63	113
63	117
63	146
63	356
107	1
107	22
107	93
107	126
172	22
48	2
48	7
48	9
48	32
48	50
48	56
48	141
48	304
391	294
391	479
359	184
166	3
166	47
166	138
0	1
0	2
0	3
0	4
0	5
0	7
0	8
0	9
0	10
0	11
0	13
0	15
0	17
0	19
0	20
0	22
0	23
0	24
0	25
0	26
0	27
0	29
0	30
0	31
0	32
0	33
0	34
0	39
0	41
0	43
0	44
0	45
0	49
0	52
0	53
0	54
0	55
0	57
0	58
0	59
0	61
0	63
0	67
0	68
0	69
0	71
0	73
0	75
0	77
0	78
0	97
0	99
0	101
0	102
0	104
0	109
0	114
0	123
0	127
0	132
0	134
0	138
0	149
0	156
0	165
0	200
0	207
0	223
0	224
0	227
0	233
0	241
0	254
0	262
0	305
0	341
0	343
0	359
0	384
0	414
33	11
33	41
33	365
214	179
495	10
495	17
495	47
229	2
229	3
229	8
229	58
229	273
94	32
94	253
94	279
188	175
372	64
382	3
283	119
283	184
283	359
165	3
165	13
165	127
165	133
165	137
165	173
165	285
165	341
343	3
343	61
500	3
488	47
488	171
185	3
88	15
88	20
232	13
10	0
10	1
10	2
10	3
10	4
10	5
10	8
10	11
10	17
10	19
10	20
10	21
10	22
10	23
10	25
10	27
10	28
10	29
10	30
10	31
10	37
10	39
10	41
10	42
10	52
10	53
10	55
10	56
10	60
10	61
10	63
10	69
10	83
10	84
10	85
10	96
10	103
10	104
10	113
10	121
10	127
10	132
10	134
10	141
10	150
10	154
10	159
10	163
10	174
10	177
10	225
10	240
10	263
10	293
10	294
10	315
10	347
10	352
10	356
10	365
10	417
29	0
29	1
29	2
29	3
29	5
29	8
29	9
29	10
29	20
29	21
29	22
29	25
29	26
29	30
29	50
29	52
29	53
29	55
29	58
29	60
29	61
29	63
29	101
29	167
29	195
29	200
29	243
29	269
29	285
29	343
29	425
29	498
176	0
176	25
12	3
12	30
12	31
78	161
149	7
149	150
167	22
167	45
115	25
115	147
100	3
100	9
100	268
145	7
473	19
473	89
44	1
44	3
44	4
44	22
44	23
44	25
44	27
44	37
44	69
44	83
44	128
44	349
44	412
44	442
380	26
380	81
18	0
18	4
18	15
18	23
18	26
18	27
18	28
18	33
18	34
18	45
18	94
18	97
18	132
8	0
8	1
8	2
8	3
8	4
8	5
8	9
8	10
8	13
8	15
8	17
8	20
8	21
8	22
8	24
8	26
8	27
8	28
8	29
8	37
8	41
8	43
8	45
8	53
8	58
8	63
8	101
8	103
8	108
8	149
8	156
8	161
8	174
8	229
8	240
8	273
8	287
8	416
109	9
109	10
109	39
109	66
425	10
425	39
97	0
97	20
97	84
97	111
97	282
221	55
22	0
22	3
22	10
22	13
22	17
22	20
22	31
22	39
22	63
22	64
22	75
22	103
22	107
22	108
22	113
22	132
22	137
22	146
22	159
22	162
22	166
22	172
22	192
22	212
22	231
22	248
22	347
22	352
144	1
144	2
144	90
79	3
79	13
79	43
79	49
25	0
25	1
25	2
25	3
25	4
25	8
25	10
25	11
25	13
25	21
25	27
25	29
25	30
25	56
25	58
25	83
25	84
25	101
25	108
25	114
25	127
25	195
25	233
25	269
25	341
25	453
118	19
118	43
118	123
37	1
37	10
37	17
37	21
37	33
37	41
37	43
37	47
37	53
37	102
37	313
37	361
37	365
40	1
40	2
40	9
40	20
40	49
40	92
40	186
40	197
40	220
180	156
133	1
133	5
133	8
137	70
137	382
58	0
58	1
58	2
58	3
58	15
58	20
58	25
58	30
58	41
58	44
58	273
69	4
69	23
66	4
66	10
66	21
66	39
66	94
66	193
66	279
249	1
249	10
249	56
249	154
187	85
49	0
49	1
49	2
49	3
49	4
49	8
49	16
49	26
49	29
49	53
49	58
49	61
49	78
49	128
49	273
255	146
340	50
340	168
340	307
296	70
101	3
101	8
101	21
101	23
101	37
101	55
101	59
101	61
101	64
101	108
101	159
101	195
101	269
101	351
2	0
2	1
2	3
2	4
2	7
2	8
2	9
2	10
2	11
2	13
2	15
2	17
2	20
2	23
2	25
2	26
2	29
2	31
2	40
2	41
2	43
2	44
2	45
2	47
2	49
2	52
2	54
2	55
2	57
2	58
2	61
2	62
2	63
2	67
2	68
2	71
2	78
2	88
2	90
2	91
2	96
2	102
2	103
2	105
2	106
2	113
2	124
2	127
2	134
2	138
2	144
2	161
2	166
2	207
2	229
2	234
2	251
2	257
2	273
2	276
2	294
2	343
2	347
2	403
2	417
2	470
197	9
197	20
197	40
197	160
197	294
197	479
259	32
259	141
259	509
23	0
23	1
23	2
23	3
23	4
23	5
23	9
23	10
23	15
23	16
23	24
23	25
23	27
23	29
23	31
23	37
23	43
23	69
23	70
23	84
23	89
23	117
23	138
23	141
23	147
