Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location
IDG Capital,https://www.crunchbase.com/organization/idg-capital-partners,537,56,"Beijing, Beijing, China"
Sequoia Capital China,https://www.crunchbase.com/organization/sequoia-capital-china,338,46,"Beijing, Beijing, China"
Qiming Venture Partners,https://www.crunchbase.com/organization/qiming-venture-partners,335,25,"Shanghai, Shanghai, China"
Tencent Holdings,https://www.crunchbase.com/organization/tencent,327,48,"Shenzhen, Guangdong, China"
Matrix Partners China,https://www.crunchbase.com/organization/matrix-partners-china,296,18,"Beijing, Beijing, China"
ZhenFund,https://www.crunchbase.com/organization/zhenfund,259,9,"Beijing, Beijing, China"
HAX,https://www.crunchbase.com/organization/hax-accelerator,254,3,"Shenzhen, Guangdong, China"
Shenzhen Capital Group,https://www.crunchbase.com/organization/shenzhen-capital-group,203,27,"Shenzhen, Guangdong, China"
Sinovation Ventures,https://www.crunchbase.com/organization/sinovation-ventures,175,15,"Beijing, Beijing, China"
Legend Capital,https://www.crunchbase.com/organization/legend-capital,165,18,"Beijing, Beijing, China"
Shunwei Capital,https://www.crunchbase.com/organization/shunwei-china-internet-fund,154,9,"Beijing, Beijing, China"
Morningside Group,https://www.crunchbase.com/organization/morningside-group,153,25,"Shanghai, Shanghai, China"
Microsoft Accelerator Beijing,https://www.crunchbase.com/organization/microsoft-ventures-accelerator-beijing-2,152,1,"Beijing, Beijing, China"
Alibaba Group,https://www.crunchbase.com/organization/alibaba,143,27,"Hangzhou, Zhejiang, China"
Chinaccelerator,https://www.crunchbase.com/organization/chinaccelerator,134,2,"Shanghai, Shanghai, China"
Northern Light Venture Capital,https://www.crunchbase.com/organization/northern-light-venture-capital,132,10,"Beijing, Beijing, China"
Cherubic Ventures,https://www.crunchbase.com/organization/cherubic-ventures,128,7,"Beijing, Beijing, China"
SIG China,https://www.crunchbase.com/organization/sig-china,117,9,"Shanghai, Shanghai, China"
Empower Investment,https://www.crunchbase.com/organization/empower-investment,116,,"Shanghai, Shanghai, China"
Gobi Partners,https://www.crunchbase.com/organization/gobi-partners,106,4,"Shanghai, Shanghai, China"
Hillhouse Capital Group,https://www.crunchbase.com/organization/hillhouse-capital,105,21,"Changyang, Beijing, China"
Source Code Capital,https://www.crunchbase.com/organization/source-code-capital,98,4,"Changyang, Beijing, China"
Baidu,https://www.crunchbase.com/organization/baidu,87,13,"Beijing, Beijing, China"
China Growth Capital,https://www.crunchbase.com/organization/china-growth-capital,83,3,"Beijing, Beijing, China"
K2VC,https://www.crunchbase.com/organization/k2-vc,79,1,"Chaoyang, Liaoning, China"
Morningside Venture Capital,https://www.crunchbase.com/organization/morningsidevc,72,6,"Xuhui, Shanghai, China"
Vertex Ventures China,https://www.crunchbase.com/organization/vertex-ventures-china,71,6,"Beijing, Beijing, China"
Yunqi Partners,https://www.crunchbase.com/organization/yunqi-partners,71,,"Shanghai, Shanghai, China"
N5Capital,https://www.crunchbase.com/organization/n5capital,69,,"Beijing, Beijing, China"
Bertelsmann Asia Investment Fund,https://www.crunchbase.com/organization/bertelsmann-asia-investment-fund,66,8,"Beijing, Beijing, China"
Gaorong Capital,https://www.crunchbase.com/organization/banyan-capital,62,4,"Beijing, Beijing, China"
CBC Capital,https://www.crunchbase.com/organization/cbc-capital,60,3,"Beijing, Beijing, China"
Lightspeed China Partners,https://www.crunchbase.com/organization/lightspeed-china-partners,57,3,"Shanghai, Shanghai, China"
JD.com,https://www.crunchbase.com/organization/jd-com,56,14,"Beijing, Beijing, China"
SB China Venture Capital,https://www.crunchbase.com/organization/softbank-china-venture-capital,56,2,"Shanghai, Shanghai, China"
Legend Star,https://www.crunchbase.com/organization/legendstar,54,1,"Beijing, Beijing, China"
Node Capital,https://www.crunchbase.com/organization/node-capital,50,,"Beijing, Beijing, China"
Fosun Group,https://www.crunchbase.com/organization/fosun-international,49,5,"Shanghai, Shanghai, China"
PreAngel,https://www.crunchbase.com/organization/preangel,49,1,"Beijing, Beijing, China"
Xiaomi,https://www.crunchbase.com/organization/xiaomi,47,7,"Beijing, Beijing, China"
Lilly Asia Ventures,https://www.crunchbase.com/organization/lilly-asia-ventures,47,5,"Shanghai, Shanghai, China"
Tiantu Capital,https://www.crunchbase.com/organization/tiantu-capital,44,4,"Shenzhen, Guangdong, China"
Chengwei Capital,https://www.crunchbase.com/organization/chengwei-capital,43,4,"Shanghai, Shanghai, China"
Ant Financial,https://www.crunchbase.com/organization/alipay,41,6,"Hangzhou, Zhejiang, China"
FREES FUND,https://www.crunchbase.com/organization/freesfund,41,1,"Beijing, Beijing, China"
DT Capital Partners,https://www.crunchbase.com/organization/dt-capital-partners,40,3,"Shanghai, Shanghai, China"
Zhonglu Capital,https://www.crunchbase.com/organization/zhonglu-capital,40,,"Shanghai, Shanghai, China"
Green Pine Capital,https://www.crunchbase.com/organization/green-pine-capital,37,,"Shenzhen, Guangdong, China"
Decent Capital,https://www.crunchbase.com/organization/decent-capital,37,1,"Shenzhen, Guangdong, China"
Trustbridge Partners,https://www.crunchbase.com/organization/trustbridge-partners,36,4,"Shanghai, Shanghai, China"
Fortune Venture Capital,https://www.crunchbase.com/organization/fortune-venture-capital,36,7,"Shenzhen, Guangdong, China"
